GeneID,IU_Finnerty_Estrus_n1,IU_Finnerty_Estrus_n2,IU_Finnerty_Estrus_n3,IA_Finnerty_Estrus_n1,IA_Finnerty_Estrus_n2,IA_Finnerty_Estrus_n3
Gstm3,25.0,42.0,64.0,55.0,65.0,103.0
Rab32,1309.0,1390.0,2241.0,1292.0,908.0,1577.0
Zfp319,1170.0,1495.0,2226.0,1318.0,1380.0,1424.0
Nrbp2,15048.0,11264.0,18182.0,7292.0,9923.0,7278.0
Cdc42se2,8059.0,8530.0,11555.0,10076.0,9910.0,7672.0
Emd,2123.0,2391.0,3974.0,2431.0,2238.0,2514.0
Kdm4c,1662.0,1821.0,2768.0,1699.0,2073.0,2049.0
5930430L01Rik,265.0,240.0,426.0,200.0,271.0,318.0
Pdha1,6381.0,7696.0,10079.0,5754.0,6479.0,7745.0
Dnajb12,1137.0,1310.0,1717.0,1222.0,1546.0,1485.0
Naa10,1492.0,1191.0,1986.0,1115.0,1454.0,1278.0
Rplp1,27383.0,27844.0,39009.0,21618.0,24656.0,27920.0
Gm4924,113.0,104.0,194.0,118.0,154.0,162.0
Mpp7,1484.0,1758.0,2664.0,1418.0,1744.0,1954.0
Ate1,1925.0,2249.0,3679.0,1802.0,2370.0,2536.0
Zfp958,319.0,350.0,525.0,264.0,329.0,398.0
Meis3,342.0,595.0,778.0,254.0,299.0,336.0
Mosmo,834.0,971.0,1691.0,746.0,999.0,989.0
3110009E18Rik,72.0,55.0,117.0,74.0,57.0,146.0
Zfp651,2370.0,2995.0,4722.0,2154.0,2340.0,3376.0
Atf7ip2,6.0,43.0,153.0,7.0,5.0,19.0
Cyp4b1,118.0,384.0,499.0,383.0,180.0,553.0
Gm10132,192.0,191.0,209.0,125.0,232.0,156.0
Ssr1,7137.0,7626.0,10319.0,7481.0,9067.0,6740.0
Mapk3,9452.0,12073.0,13477.0,9155.0,12174.0,11980.0
Ppcdc,803.0,837.0,1328.0,894.0,1021.0,1537.0
Nudcd1,1071.0,1308.0,1718.0,923.0,1058.0,1006.0
Uba7,1761.0,2166.0,2831.0,1600.0,1330.0,1912.0
Tbc1d17,1498.0,2926.0,3456.0,1659.0,1663.0,2941.0
Pla1a,480.0,526.0,482.0,246.0,337.0,121.0
Mir10a,4.0,6.0,16.0,5.0,5.0,3.0
Zfp280d,1161.0,1281.0,2313.0,1310.0,1482.0,1773.0
Ubtd1,1000.0,1042.0,1348.0,1399.0,1135.0,1177.0
Gm5546,37.0,30.0,28.0,5.0,18.0,11.0
Rnf145,3221.0,4722.0,6764.0,3864.0,3741.0,4456.0
Washc5,1916.0,2192.0,3342.0,2466.0,2789.0,3479.0
Zfp91,4012.0,3927.0,6476.0,3583.0,4548.0,4920.0
Leprotl1,1408.0,1466.0,2411.0,1410.0,1678.0,1825.0
BC037704,42.0,80.0,175.0,89.0,54.0,89.0
Aamdc,629.0,616.0,962.0,509.0,545.0,769.0
Tmprss11g,98.0,66.0,4.0,24.0,294.0,25.0
Nutf2-ps1,335.0,302.0,344.0,340.0,525.0,238.0
Tinf2,618.0,628.0,892.0,735.0,802.0,743.0
Zfp428,398.0,461.0,662.0,429.0,478.0,553.0
Slc13a3,59.0,51.0,80.0,35.0,40.0,12.0
Vxn,989.0,896.0,847.0,1242.0,2367.0,912.0
Hyou1,9190.0,11763.0,10801.0,11986.0,14703.0,7342.0
Col18a1,3725.0,6566.0,10460.0,6709.0,3036.0,8866.0
H2-T23,1598.0,5251.0,3631.0,2592.0,2146.0,3966.0
Tmem248,4731.0,5218.0,6760.0,4970.0,5547.0,5103.0
Ptp4a2,8747.0,11697.0,18624.0,11620.0,10603.0,14563.0
Hsd11b2,1953.0,157.0,288.0,80.0,704.0,41.0
Echdc3,381.0,479.0,718.0,310.0,278.0,643.0
Sptlc2,2177.0,2320.0,3099.0,2216.0,2355.0,2227.0
Ttc39c,1296.0,1437.0,1096.0,1638.0,1709.0,1134.0
Rn18s,4157.0,5945.0,8216.0,6818.0,9414.0,13148.0
Zfp729b,588.0,767.0,1034.0,508.0,581.0,652.0
Gm20300,1284.0,1350.0,2214.0,1258.0,1451.0,1693.0
9230112J17Rik,37.0,44.0,73.0,57.0,68.0,64.0
Zfp445,4225.0,4448.0,7411.0,3527.0,4527.0,4329.0
Arhgap33,1201.0,1158.0,1761.0,531.0,631.0,995.0
Tmprss11e,32.0,64.0,2.0,0.0,0.0,2.0
Nmb,141.0,297.0,394.0,222.0,178.0,338.0
Klhl12,1124.0,1156.0,1975.0,1054.0,1344.0,1820.0
Phip,4267.0,4023.0,7070.0,3595.0,4973.0,5553.0
Hmgn3,899.0,842.0,1538.0,892.0,860.0,1307.0
Stt3b,7280.0,9839.0,11829.0,11685.0,10778.0,12439.0
Ctf2,7.0,9.0,46.0,8.0,9.0,15.0
Jak2,5612.0,6673.0,10500.0,6504.0,7731.0,8885.0
Sec16a,7355.0,8316.0,10331.0,7054.0,9837.0,6919.0
Norad,5493.0,6028.0,10100.0,5117.0,6483.0,7354.0
Gm16754,56.0,47.0,74.0,22.0,39.0,36.0
Fyb2,2903.0,3306.0,2707.0,1933.0,3272.0,1584.0
Bhlha15,356.0,820.0,409.0,555.0,474.0,670.0
Rnf138,918.0,795.0,1444.0,832.0,953.0,1152.0
Rbbp6,4000.0,4151.0,7682.0,3428.0,4581.0,4748.0
Tef,5444.0,5042.0,8686.0,4040.0,8106.0,12423.0
Gpi1,11590.0,15219.0,17696.0,12271.0,13210.0,12715.0
Mterf1a,96.0,97.0,160.0,104.0,92.0,137.0
Ndufa6,1070.0,1276.0,1784.0,767.0,1010.0,1254.0
Pet100,535.0,419.0,682.0,452.0,479.0,463.0
Ccdc90b,1098.0,1305.0,1755.0,1140.0,1075.0,1426.0
Cnot3,2728.0,2730.0,4124.0,2317.0,2927.0,2502.0
Mmadhc,1896.0,1836.0,2541.0,1794.0,2346.0,2181.0
Dhrs11,689.0,671.0,1076.0,913.0,638.0,832.0
Alpl,5547.0,1982.0,1113.0,1176.0,1355.0,381.0
Pnoc,49.0,221.0,1062.0,901.0,409.0,283.0
Styx,248.0,233.0,374.0,191.0,294.0,271.0
AA414992,2.0,4.0,10.0,3.0,2.0,12.0
2510002D24Rik,935.0,1091.0,1517.0,824.0,939.0,1232.0
Fam91a1,4948.0,5461.0,8042.0,5761.0,6250.0,5955.0
Washc3,1081.0,1334.0,1570.0,1166.0,1295.0,1714.0
Gabarapl2,1320.0,1575.0,2060.0,2074.0,2445.0,3238.0
Itgb8,216.0,340.0,392.0,421.0,569.0,534.0
Tcea2,318.0,274.0,603.0,262.0,446.0,457.0
Zfp970,562.0,696.0,1017.0,496.0,471.0,648.0
Nup107,655.0,796.0,1258.0,699.0,959.0,893.0
Nucb1,21761.0,21699.0,22098.0,17108.0,19717.0,14585.0
Sar1b,837.0,784.0,1162.0,789.0,984.0,1026.0
Pkd2l2,260.0,320.0,561.0,407.0,411.0,577.0
Gm13669,45.0,49.0,74.0,54.0,62.0,61.0
Serpina3g,31.0,61.0,77.0,16.0,8.0,13.0
Gpihbp1,59.0,206.0,143.0,63.0,171.0,36.0
Aqp11,191.0,375.0,820.0,166.0,155.0,325.0
Mir135a-2,3.0,6.0,19.0,2.0,2.0,1.0
Nr3c1,2377.0,2996.0,4870.0,2113.0,2588.0,3218.0
Gadd45a,6870.0,5368.0,4274.0,1242.0,4334.0,1888.0
Zmiz1,11307.0,11639.0,13961.0,7474.0,12473.0,8262.0
Atp6v0c,3408.0,3402.0,4229.0,3316.0,3660.0,3566.0
Rprd1a,809.0,994.0,1615.0,970.0,1060.0,1127.0
Uba6,694.0,729.0,1079.0,589.0,1043.0,846.0
Sun1,3019.0,3754.0,6708.0,4141.0,4611.0,6425.0
Drd4,8.0,6.0,62.0,2.0,4.0,0.0
Letmd1,1213.0,1536.0,2356.0,952.0,969.0,1222.0
Mrps24,1554.0,1330.0,1966.0,1535.0,1599.0,1598.0
Ppl,2758.0,4849.0,7694.0,3931.0,3647.0,6827.0
Mvd,638.0,468.0,481.0,357.0,536.0,251.0
Qdpr,905.0,916.0,1385.0,966.0,1143.0,1336.0
Srpr,8101.0,9038.0,10755.0,7239.0,9369.0,6747.0
Plcd4,47.0,72.0,150.0,69.0,52.0,76.0
Hid1,1804.0,2933.0,2583.0,3176.0,3208.0,2600.0
Zhx1,2832.0,3343.0,5178.0,2203.0,2647.0,3494.0
2300009A05Rik,515.0,539.0,870.0,509.0,503.0,597.0
Wac,4502.0,4697.0,7560.0,4064.0,5032.0,4855.0
Psmg4,533.0,436.0,733.0,472.0,469.0,541.0
Fxr2,2869.0,3297.0,4923.0,2716.0,3257.0,3654.0
Snx25,518.0,675.0,1013.0,613.0,604.0,841.0
Sec62,5533.0,6296.0,9251.0,6214.0,7081.0,9093.0
Pabpn1,9396.0,8009.0,14013.0,7173.0,7988.0,7760.0
Sh3d19,4738.0,5782.0,8337.0,3857.0,6724.0,4049.0
Gm6485,404.0,379.0,626.0,271.0,290.0,395.0
Mgat3,1006.0,1822.0,2816.0,2282.0,1474.0,3430.0
Smox,1494.0,2647.0,6530.0,2774.0,2790.0,4350.0
Crabp2,2256.0,596.0,1499.0,4.0,6.0,2.0
Mir3101,17.0,39.0,66.0,15.0,20.0,25.0
Zfp275,1177.0,1142.0,2511.0,1131.0,1396.0,1407.0
Nsrp1,1525.0,1582.0,2165.0,993.0,1424.0,1372.0
Prkx,784.0,774.0,1323.0,930.0,1043.0,1352.0
Cfdp1,2304.0,2382.0,3431.0,2250.0,2501.0,3020.0
Ankrd28,1401.0,1647.0,2320.0,1419.0,1782.0,1769.0
Spsb3,962.0,963.0,1573.0,966.0,1174.0,1143.0
Crebl2,893.0,1286.0,1987.0,1045.0,1327.0,2191.0
Txlng,323.0,390.0,728.0,387.0,431.0,608.0
Trim62,1187.0,929.0,1045.0,832.0,1458.0,801.0
Nectin2,2922.0,3490.0,4587.0,2670.0,2569.0,3749.0
Pcp2,3.0,1.0,2.0,1.0,3.0,0.0
Magoh,1059.0,1029.0,1616.0,1065.0,1190.0,1370.0
Atp5k,1967.0,1185.0,2204.0,1188.0,1462.0,1054.0
Pdk3,697.0,690.0,1238.0,1016.0,1181.0,1255.0
Icam4,14.0,15.0,13.0,6.0,5.0,19.0
Hdgf,5583.0,5602.0,8617.0,5186.0,5578.0,5973.0
Lsm4,1748.0,1307.0,2119.0,1717.0,1920.0,1587.0
Gm7984,91.0,88.0,133.0,98.0,115.0,75.0
Trmt44,274.0,285.0,488.0,253.0,380.0,310.0
Pfdn1,1545.0,1420.0,2289.0,1513.0,1526.0,1871.0
Mettl17,580.0,636.0,1130.0,633.0,621.0,763.0
Mlf2,7526.0,7247.0,11147.0,7523.0,8661.0,7392.0
Uap1,2602.0,3073.0,3183.0,2371.0,2837.0,1907.0
Pum2,6739.0,7542.0,12102.0,5900.0,8223.0,8086.0
Parp14,2523.0,3599.0,3768.0,1703.0,1882.0,1923.0
Atp5md,1865.0,1247.0,2161.0,1492.0,1738.0,1473.0
Arhgap12,1818.0,2003.0,2894.0,1831.0,1971.0,2639.0
Heatr5a,2710.0,3122.0,4330.0,2244.0,2710.0,2145.0
Rhoc,11935.0,8574.0,9182.0,4131.0,11159.0,3782.0
A230083G16Rik,62.0,57.0,122.0,44.0,41.0,43.0
Rps11-ps1,421.0,477.0,666.0,297.0,272.0,331.0
Tmem213,735.0,728.0,143.0,823.0,1694.0,358.0
Desi1,1417.0,2092.0,2456.0,1236.0,1431.0,1391.0
Tmem123,6178.0,8280.0,13407.0,6566.0,7209.0,8125.0
Tmem74b,14.0,10.0,22.0,11.0,12.0,8.0
Nr4a1,862.0,625.0,1177.0,527.0,1654.0,534.0
Pi4kb,1822.0,1952.0,3246.0,1944.0,2135.0,2222.0
Dhcr24,24532.0,13891.0,18918.0,5367.0,7512.0,5045.0
Cog4,2202.0,2541.0,3076.0,1911.0,2092.0,2499.0
Smim8,646.0,641.0,977.0,634.0,823.0,937.0
Pla2g10,9.0,16.0,42.0,30.0,36.0,32.0
Myh7b,30.0,36.0,26.0,17.0,31.0,6.0
Oxtr,3769.0,409.0,794.0,166.0,1276.0,86.0
Gbp2,1388.0,2358.0,2259.0,1133.0,726.0,1130.0
Atpif1,4184.0,4126.0,5260.0,4328.0,4847.0,5568.0
Il17c,2.0,12.0,5.0,0.0,2.0,2.0
Tmx3,3102.0,3146.0,4830.0,3318.0,4066.0,4701.0
Spock3,30.0,4.0,19.0,12.0,62.0,19.0
Ficd,845.0,1250.0,1284.0,960.0,1173.0,1170.0
Slc25a22,1104.0,1113.0,1701.0,1140.0,1182.0,1194.0
Btf3l4,1486.0,1743.0,2613.0,1561.0,1901.0,2148.0
Arid5a,917.0,1209.0,1368.0,479.0,697.0,719.0
Adtrp,546.0,381.0,563.0,374.0,353.0,357.0
Tmem30a,4008.0,4145.0,5717.0,3827.0,4500.0,4533.0
Gdf6,132.0,42.0,53.0,13.0,103.0,49.0
Pcyt1b,353.0,464.0,680.0,1154.0,1574.0,1721.0
Tax1bp3,1637.0,1734.0,2210.0,1367.0,1719.0,1334.0
Tnip1,2540.0,3335.0,4225.0,3069.0,3379.0,3364.0
Gstm1,18261.0,26514.0,51971.0,34827.0,36603.0,57687.0
Tmem200b,2317.0,1638.0,1828.0,1301.0,2877.0,1488.0
Htr1d,128.0,158.0,90.0,52.0,91.0,66.0
Ckm,10.0,19.0,93.0,14.0,0.0,6.0
Gm15421,80.0,75.0,91.0,45.0,73.0,77.0
Gm3716,12.0,26.0,87.0,33.0,28.0,50.0
Smarcad1,1372.0,1350.0,2405.0,1268.0,1735.0,1688.0
Alkbh5,6206.0,8142.0,10588.0,8273.0,9093.0,10041.0
Cbx1,1247.0,1535.0,2088.0,1253.0,1339.0,1537.0
Rpl21,3847.0,4087.0,6453.0,2966.0,3412.0,4313.0
Slco1a4,40.0,63.0,164.0,84.0,78.0,83.0
Ndufb3,1501.0,1235.0,2000.0,1401.0,1640.0,1684.0
Saa3,0.0,6.0,28.0,10.0,4.0,2.0
Adam17,2327.0,2450.0,3076.0,2089.0,2450.0,2307.0
Tmem106b,7978.0,11417.0,17964.0,7691.0,7516.0,10375.0
Mettl23,493.0,524.0,747.0,399.0,437.0,572.0
Wdr77,6953.0,7167.0,17450.0,7700.0,8522.0,10954.0
Srsf9,2218.0,1966.0,3076.0,2103.0,2556.0,2486.0
Mb,100.0,92.0,176.0,67.0,93.0,70.0
Slc51a,0.0,0.0,8.0,2.0,0.0,0.0
Pabpc1,33371.0,41980.0,47083.0,22996.0,30360.0,33144.0
Tulp1,86.0,217.0,207.0,71.0,55.0,82.0
Ncstn,6517.0,6797.0,8248.0,5517.0,6500.0,6452.0
Mapk12,572.0,542.0,1187.0,620.0,562.0,1043.0
Eid2b,454.0,528.0,808.0,430.0,526.0,604.0
Tceal3,644.0,693.0,1345.0,439.0,477.0,686.0
Ncapg2,340.0,303.0,637.0,282.0,414.0,456.0
Ap2a2,3319.0,3856.0,5259.0,3214.0,3756.0,3847.0
Oasl2,3974.0,7287.0,7486.0,4980.0,3229.0,3551.0
Msi1,654.0,512.0,788.0,602.0,1540.0,733.0
Trpv6,415.0,1771.0,414.0,371.0,156.0,195.0
Galnt4,1720.0,1394.0,1762.0,1253.0,2028.0,945.0
Ythdc2,442.0,500.0,821.0,335.0,536.0,537.0
Pigf,144.0,161.0,259.0,204.0,252.0,223.0
Tmem254,14.0,17.0,48.0,7.0,4.0,8.0
Dnm2,6264.0,6134.0,8369.0,5475.0,6344.0,5743.0
Emilin2,610.0,225.0,315.0,131.0,576.0,93.0
Exosc7,797.0,1052.0,1511.0,886.0,976.0,1263.0
Crip1,8294.0,7246.0,12191.0,8003.0,7885.0,10777.0
Rrm2b,1750.0,1960.0,3115.0,1484.0,1913.0,2416.0
Mta1,2698.0,3087.0,4350.0,2380.0,2851.0,3206.0
Prss36,254.0,326.0,479.0,228.0,241.0,441.0
Utrn,9020.0,9000.0,12329.0,4990.0,11345.0,5760.0
Ptms,18374.0,22816.0,31993.0,16844.0,12912.0,16240.0
Cr1l,2234.0,2211.0,2876.0,1814.0,2000.0,1875.0
Immp1l,586.0,622.0,1021.0,599.0,628.0,953.0
Tusc1,246.0,302.0,514.0,275.0,259.0,336.0
St14,6574.0,8084.0,9665.0,6547.0,5877.0,8760.0
Vegfb,1132.0,2332.0,2926.0,1753.0,1218.0,2193.0
Pgm3,774.0,862.0,1006.0,705.0,895.0,881.0
Tsku,409.0,381.0,747.0,2392.0,2499.0,3689.0
Trim34a,544.0,711.0,719.0,537.0,574.0,787.0
Mgarp,6.0,28.0,13.0,6.0,6.0,4.0
Pomgnt2,547.0,715.0,1249.0,580.0,694.0,1034.0
Vps37a,2204.0,2525.0,4327.0,2674.0,2978.0,3147.0
Rps12,15557.0,14750.0,20460.0,8351.0,9004.0,9914.0
Ndufa8,245.0,223.0,339.0,188.0,285.0,252.0
Sdhb,4785.0,3387.0,5034.0,3331.0,3827.0,3272.0
Gadd45gip1,1243.0,1256.0,1877.0,1231.0,1381.0,1369.0
Col26a1,1501.0,403.0,844.0,316.0,299.0,506.0
Gm10335,527.0,534.0,879.0,350.0,381.0,462.0
Epha7,73.0,142.0,143.0,112.0,117.0,107.0
Chst8,834.0,680.0,114.0,16.0,59.0,20.0
Kcnk3,315.0,1246.0,1032.0,532.0,299.0,190.0
Hpn,1123.0,838.0,1397.0,704.0,1017.0,1087.0
Cenpm,57.0,75.0,74.0,55.0,59.0,58.0
Amt,312.0,312.0,589.0,290.0,349.0,482.0
Tnf,24.0,16.0,20.0,10.0,10.0,5.0
Zfp738,553.0,603.0,907.0,413.0,521.0,577.0
Rnu7,11.0,13.0,36.0,14.0,23.0,32.0
Insl6,92.0,84.0,197.0,73.0,59.0,118.0
Ighv1-72,10.0,34.0,6.0,24.0,13.0,0.0
Idh3g,3459.0,3889.0,4933.0,3317.0,3817.0,3507.0
Plod3,1835.0,2151.0,2538.0,1721.0,2013.0,2044.0
Tango2,291.0,317.0,515.0,399.0,332.0,485.0
Clp1,369.0,392.0,533.0,305.0,431.0,500.0
Sgsm2,1755.0,2810.0,2958.0,1869.0,1985.0,2022.0
Gm19955,3.0,19.0,14.0,14.0,14.0,10.0
Myo18a,7349.0,5678.0,7141.0,4225.0,7679.0,5578.0
Ssr4,4366.0,4309.0,5158.0,4376.0,4718.0,3682.0
Pmpcb,2610.0,2808.0,3646.0,2190.0,2657.0,2639.0
Derl1,1595.0,1953.0,2420.0,1924.0,2065.0,1945.0
Sgtb,133.0,230.0,270.0,137.0,169.0,155.0
Luc7l,3662.0,3597.0,6442.0,2531.0,3392.0,3642.0
Gm17821,15.0,12.0,7.0,16.0,9.0,2.0
Bsn,1051.0,794.0,1638.0,225.0,328.0,214.0
Gm4832,1.0,0.0,4.0,0.0,1.0,1.0
Cbr4,596.0,595.0,834.0,557.0,694.0,729.0
Mcur1,1261.0,1740.0,2724.0,1704.0,1623.0,2370.0
Copz1,2455.0,2410.0,3468.0,2718.0,2931.0,2509.0
4930455G09Rik,24.0,17.0,33.0,14.0,19.0,29.0
C130036L24Rik,33.0,52.0,58.0,32.0,26.0,65.0
1700001O22Rik,726.0,706.0,1144.0,431.0,463.0,457.0
Chst13,120.0,3.0,5.0,2.0,68.0,0.0
Gpatch4,694.0,464.0,950.0,419.0,798.0,581.0
Lman2l,2242.0,2853.0,3862.0,2892.0,2802.0,3350.0
Elac1,769.0,1022.0,1641.0,759.0,824.0,1095.0
Pcbp1,13274.0,12686.0,18520.0,12080.0,14471.0,11194.0
Trappc6b,1683.0,1903.0,2811.0,1389.0,1673.0,1908.0
Dbp,2417.0,3106.0,2987.0,1426.0,2928.0,7271.0
Hyls1,118.0,119.0,203.0,186.0,174.0,268.0
Mir3074-1,0.0,1.0,5.0,2.0,0.0,1.0
Chad,1430.0,1706.0,1396.0,1906.0,2669.0,1193.0
Gm19688,7.0,26.0,14.0,6.0,2.0,3.0
Arhgap27,5339.0,2145.0,2504.0,1327.0,3629.0,1067.0
Ephb3,691.0,1089.0,1126.0,765.0,674.0,831.0
Vgll4,1306.0,1779.0,2304.0,1513.0,1855.0,1500.0
Bcl2l1,3123.0,3377.0,7049.0,3399.0,3801.0,7072.0
Rbmxl1,853.0,810.0,1334.0,736.0,1020.0,1034.0
Exd1,52.0,64.0,110.0,72.0,67.0,86.0
Crybg1,1165.0,1906.0,2784.0,1324.0,1267.0,1533.0
Mcmbp,2058.0,2277.0,3537.0,2057.0,2137.0,2411.0
S100a14,224.0,194.0,182.0,286.0,301.0,127.0
Uxt,224.0,170.0,326.0,276.0,294.0,236.0
Aldh1l2,199.0,232.0,311.0,130.0,172.0,50.0
Il17rb,1308.0,1455.0,7240.0,575.0,324.0,1342.0
Sft2d2,6020.0,8616.0,11332.0,7814.0,8538.0,10001.0
Abhd5,1173.0,1339.0,1642.0,1129.0,1072.0,1129.0
Nsdhl,1362.0,728.0,1007.0,803.0,1151.0,711.0
Kbtbd11,826.0,1768.0,4802.0,3344.0,2052.0,5098.0
Pde4b,335.0,279.0,526.0,367.0,495.0,345.0
Mir16-1,0.0,0.0,0.0,0.0,1.0,1.0
Morf4l1-ps1,374.0,385.0,557.0,408.0,517.0,716.0
Cct8l1,35.0,34.0,48.0,15.0,26.0,6.0
Mrps12,1016.0,1137.0,1566.0,1035.0,1263.0,1121.0
Pura,1555.0,1374.0,2233.0,1075.0,1644.0,1137.0
Rela,2840.0,3747.0,5285.0,2664.0,2903.0,3902.0
Phf21b,423.0,156.0,293.0,162.0,323.0,196.0
Ly6h,1475.0,613.0,680.0,463.0,562.0,263.0
Snord2,39.0,42.0,70.0,15.0,32.0,39.0
Actr6,325.0,365.0,525.0,297.0,375.0,507.0
Hnrnph2,2491.0,2473.0,3773.0,2315.0,2806.0,2837.0
Ufsp2,1648.0,1586.0,2050.0,1485.0,2000.0,1667.0
Cox7c,3967.0,3425.0,4705.0,2638.0,2757.0,2980.0
Vtcn1,2880.0,3667.0,4423.0,3075.0,3088.0,2918.0
Ndnf,71.0,50.0,82.0,50.0,64.0,28.0
Nudt5,460.0,390.0,606.0,385.0,518.0,446.0
H3c4,10.0,23.0,18.0,30.0,22.0,16.0
Gm16062,5.0,12.0,20.0,10.0,8.0,5.0
Acot2,636.0,958.0,1395.0,825.0,754.0,939.0
Znhit6,1719.0,858.0,1263.0,497.0,1080.0,636.0
Synrg,3510.0,3831.0,5269.0,3228.0,3422.0,3320.0
Rps26,15926.0,16619.0,24797.0,11101.0,13975.0,15673.0
Slc25a33,750.0,914.0,1457.0,1014.0,1008.0,1083.0
Nudt3,3318.0,3318.0,5893.0,2791.0,3336.0,3892.0
Svip,883.0,819.0,1371.0,953.0,964.0,1226.0
Ndufb4b,35.0,35.0,67.0,32.0,44.0,28.0
Rab5if,1002.0,1013.0,1338.0,1052.0,982.0,937.0
Sec63,7381.0,8370.0,10292.0,7259.0,8789.0,8291.0
Cdcp1,2707.0,3695.0,5356.0,2732.0,2998.0,3068.0
Snrpa,2193.0,2302.0,3412.0,2596.0,3001.0,2560.0
Pithd1,833.0,1030.0,1655.0,1099.0,1244.0,1844.0
Krt27,5.0,0.0,3.0,0.0,0.0,0.0
A2ml1,137805.0,180577.0,237202.0,228661.0,223920.0,127094.0
Slc22a23,672.0,1045.0,2339.0,1070.0,834.0,1236.0
Greb1,11548.0,6406.0,12169.0,4235.0,12784.0,7557.0
Ist1,2915.0,3028.0,4428.0,2671.0,3226.0,3806.0
Acaca,2094.0,1900.0,3540.0,1899.0,2465.0,1858.0
Cd300e,360.0,304.0,184.0,38.0,31.0,25.0
Tmprss12,16.0,1.0,2.0,16.0,61.0,7.0
Med9,1672.0,1574.0,2487.0,1613.0,2036.0,2163.0
Cox5b,4609.0,3675.0,5567.0,3508.0,4324.0,3217.0
Cdk5rap3,2367.0,3365.0,3877.0,3018.0,3186.0,3163.0
Ifnar1,2694.0,3460.0,4420.0,3113.0,3432.0,3322.0
Canx,16896.0,17288.0,20746.0,16961.0,20120.0,16552.0
Klk1b27,349.0,129.0,17.0,30.0,26.0,2.0
Ncbp1,3974.0,2494.0,3501.0,1945.0,2886.0,1807.0
Rab11fip2,3167.0,3326.0,5315.0,2323.0,2951.0,2976.0
Gm13003,42.0,77.0,142.0,37.0,18.0,82.0
Tapt1,1850.0,2039.0,2759.0,1719.0,2430.0,2355.0
Ywhah,1195.0,1118.0,1427.0,862.0,1207.0,1127.0
Gm5148,329.0,412.0,623.0,266.0,328.0,477.0
Mtmr3,3999.0,4876.0,6807.0,3812.0,4551.0,4886.0
Emc4,1062.0,965.0,1648.0,1134.0,1332.0,1294.0
Gpr137b,333.0,805.0,1006.0,639.0,287.0,590.0
Rell2,15.0,18.0,26.0,12.0,17.0,12.0
Araf,4067.0,4023.0,7186.0,3054.0,3714.0,4368.0
Kdm5c,5955.0,5673.0,8292.0,5506.0,7617.0,5624.0
Zfp827,3340.0,4057.0,5462.0,2832.0,4084.0,3872.0
Prkacb,5100.0,5947.0,10685.0,4090.0,4782.0,5440.0
Zbtb46,226.0,250.0,411.0,266.0,326.0,345.0
Gm12693,122.0,105.0,177.0,108.0,112.0,115.0
Dctpp1,251.0,271.0,510.0,295.0,305.0,335.0
Casp8ap2,653.0,787.0,1264.0,613.0,752.0,791.0
Mir682,571.0,729.0,813.0,332.0,410.0,436.0
Lrp8,293.0,213.0,187.0,259.0,400.0,145.0
Grm8,30.0,72.0,43.0,188.0,152.0,11.0
H4c11,20.0,17.0,24.0,45.0,35.0,21.0
8430423G03Rik,27.0,45.0,44.0,32.0,31.0,21.0
Oga,4752.0,5853.0,9626.0,5773.0,7166.0,9392.0
Smim11,720.0,873.0,1293.0,637.0,702.0,1019.0
Casp1,405.0,514.0,446.0,425.0,330.0,480.0
Rps27rt,128.0,245.0,325.0,133.0,196.0,217.0
Aasdhppt,1030.0,933.0,1491.0,967.0,1278.0,1228.0
Dnajc30,563.0,683.0,922.0,619.0,640.0,855.0
Slc25a36,2600.0,2484.0,4158.0,1829.0,2379.0,2801.0
Taok3,2603.0,3208.0,3352.0,2469.0,4450.0,2528.0
Atosa,2379.0,2088.0,3293.0,1594.0,2454.0,2245.0
Il13ra1,1870.0,2135.0,2689.0,2632.0,2519.0,3547.0
Mrnip,162.0,166.0,239.0,130.0,178.0,221.0
Serpine2,745.0,1111.0,2208.0,2272.0,1709.0,2748.0
Thtpa,1212.0,1612.0,2386.0,1258.0,1492.0,1623.0
Fosl1,0.0,3.0,7.0,0.0,0.0,0.0
Gm12505,3.0,0.0,3.0,1.0,0.0,0.0
Rpl13-ps6,27.0,30.0,24.0,29.0,31.0,20.0
Zbtb26,605.0,573.0,1171.0,456.0,612.0,829.0
Tcp1,5469.0,5159.0,7803.0,4944.0,6291.0,5733.0
Cdon,4437.0,6361.0,8975.0,5227.0,5340.0,6401.0
Pla2g5,331.0,472.0,2224.0,403.0,206.0,914.0
Yipf2,1346.0,1741.0,1843.0,1756.0,1887.0,1847.0
Ripk4,876.0,1017.0,1485.0,998.0,1255.0,1856.0
Plxna3,1168.0,1312.0,2184.0,1338.0,1245.0,1567.0
Hk2,961.0,734.0,1311.0,248.0,393.0,232.0
Kctd6,739.0,892.0,1221.0,859.0,989.0,1055.0
Bpifc,520.0,171.0,121.0,79.0,192.0,36.0
Dkc1,1045.0,808.0,1691.0,902.0,1114.0,968.0
Npas2,798.0,992.0,2555.0,1120.0,919.0,1710.0
Ndufa13,3897.0,3426.0,4844.0,3034.0,3739.0,3401.0
Gm45916,7.0,16.0,15.0,17.0,11.0,4.0
Hdac10,632.0,678.0,1109.0,671.0,766.0,923.0
Trim12c,1023.0,1368.0,1405.0,834.0,838.0,1038.0
Zfp397,1637.0,1690.0,2848.0,1322.0,1762.0,1779.0
