Shisa7	Q8C3Q5
Shisa8	J3QNX5
Shisa9	Q9CZN4
Shisal1	Q0VBP7
Sipa1l1	Q8C0T5
Sipa1l2	Q80TE4
Sipa1l3	G3X9J0
St3gal6	Q8VIB3
Siah1a	P61092
Siah1b	Q06985
St3gal1	P54751
St3gal2	Q11204
St3gal4	Q91Y74
St6galnac1	Q9QZ39
St6galnac2	P70277
St6galnac3	Q9WUV2
St6galnac4	Q9R2B6
St6galnac5	Q9QYJ1
St6galnac6	Q9JM95
St8sia1	Q64687
St8sia2	O35696
St8sia3	Q64689
St8sia4	Q64692
St8sia5	P70126
St8sia6	Q8K4T1
Siae	P70665
Siah2	Q06986
Ibsp	Q61711
Nans	Q99J77
St6gal1	Q64685
St6gal2	Q76K27
St3gal3	P97325
St3gal5	O88829
Sidt1	Q6AXF6
Sidt2	Q8CIF6
Siglec10	Q80ZE3
Siglec12	Q91Y57
Sigirr	Q9JLZ8
Siglec5	Q920G3
Sik1	Q60670
Sik2	Q8CFH6
Sik3	Q6P4S6
Sike1	Q9CPR7
Sil1	Q9EPK6
Smim11	Q99J19
Smim12	Q78RX3
Smim13	E9Q942
Smim14	Q91VT8
Smim15	Q3UTD9
Sim1	Q61045
Smim20	D3Z7Q2
Smim23	Q9DAL0
Smim24	Q0VG18
Smim27	A0A140LHV9
Smim29	Q8R043
Sim2	Q61079
Smim31	Q3V2G4
SMIM33	Q3TS39
Smim35	E9Q2Z6
SMIM36	A0A1B0GRQ0
Simc1	E9Q6E9
Mapkap1	Q8BKH7
Sin3a	Q60520
Sin3b	Q62141
Sipa1	P46062
Sirt1	Q923E4
Sirt2	Q8VDQ8
Sirt3	Q8R104
Sirt4	Q8R216
Sirt5	Q8K2C6
Sirt6	P59941
Sirt7	Q8BKJ9
Sit1	Q8C503
Siva1	O54926
Six1	Q62231
Six2	Q62232
Six3	Q62233
Six4	Q61321
Six5	P70178
Six6	Q9QZ28
Ska1	Q9CPV1
Ska2	Q9CR46
Ska3	Q8C263
Skap1	Q3UUV5
Skap2	Q3UND0
Knstrn	Q9D9Z1
Skida1	Q80YR3
Skint10	A7TZG1
Skint11	A7XV14
Skic2	Q6NZR5
Skic3	F8VPK0
Skic8	Q9ERF3
Skil	Q60665
Skint1	A7TZE6
Skint2	A7XUX6
Skint3	A7TZF0
Skint4	A7TZF3
Skint5	A7XUY5
Skint6	A7XUZ6
Skint7	A7XV04
Skint8	A7XV07
Skint9	A7TZG3
Ski	Q60698
Skor1	Q8BX46
Skor2	A7M7C7
Skp1	Q9WTX5
Skp2	Q9Z0Z3
Skt	A2AQ25
Slc9a1	Q61165
Slc9a2	Q3ZAS0
Slc9a3	G3X939
Slc9a4	Q8BUE1
Slc9a5	B2RXE2
Slc9a6	A1L3P4
Slc9a7	Q8BLV3
Slc9a8	Q8R4D1
Slc9a9	Q8BZ00
Slc9b1	Q8C0X2
Slc9b2	Q5BKR2
Slc9c1	Q6UJY2
Slamf1	Q9QUM4
Cd84	Q18PI6
Slamf6	Q9ET39
Slamf7	Q8BHK6
Slamf8	Q9D3G2
Slamf9	Q9D780
Slain1	Q68FF7
Slain2	Q8CI08
Sla	Q60898
Sla2	Q8R4L0
Slbp	P97440
Slc3a1	Q91WV7
Gins4	Q99LZ3
Slf1	Q8R3P9
Slf2	Q6P9P0
Slfn1	Q9Z0I7
Slfn2	Q9Z0I6
Slfn5	Q8CBA2
Slfn8	B1ARD8
Slfn9	B1ARD6
Ghrh	P16043
Slitrk1	Q810C1
Slitrk2	Q810C0
Slitrk3	Q810B9
Slitrk4	Q810B8
Slitrk5	Q810B7
Slitrk6	Q8C110
Nuggc	D3YWJ0
Slirp	Q9D8T7
Slit1	Q80TR4
Slit2	Q9R1B9
Slit3	Q9WVB4
Slk	O54988
Slmap	Q3URD3
Slfn14	V9GXG1
Slfnl1	Q8BHW9
Slpi	P97430
Sltm	Q8CH25
Slu7	Q8BHJ9
Slurp1	Q9Z0K7
Slurp2	P0DP59
Slx1b	Q8BX32
Slx4ip	Q9D7Y9
Slx4	Q6P1D7
Slx9	P58468
Spmap2l	Q9DA15
Smad1	P70340
Smad2	Q62432
Smad3	Q8BUN5
Smad4	P97471
Smad5	P97454
Smad6	O35182
Smad7	O35253
Smad9	Q9JIW5
Samd4a	Q8CBY1
Samd4b	Q80XS6
Smagp	Q99KC7
Smarcal1	Q8BJL0
Smap1	Q91VZ6
Smap2	Q7TN29
Smap	Q9R0P4
Ighmbp2	P40694
Sfmbt1	Q9JMD1
Sfmbt2	Q5DTW2
Smc1a	Q9CU62
Smc1b	Q920F6
Smc2	Q8CG48
Smc3	Q9CW03
Smc4	Q8CG47
Smc5	Q8CG46
Smc6	Q924W5
Smarca1	Q6PGB8
Smarca2	Q6DIC0
Smarca4	Q3TKT4
Smarca5	Q91ZW3
Smarce1	O54941
Smco1	Q8CEZ1
Smco2	Q9DA21
Smco3	Q8BQM7
Smco4	Q9JIS3
Smcr8	Q3UMB5
Snrpd1	P62315
Snrpd2	P62317
Snrpd3	P62320
Saysd1	Q8K190
Smg1	Q8BKX6
Smg5	Q6ZPY2
Smg7	Q5RJH6
Smg8	Q8VE18
Smg9	Q9DB90
Smchd1	Q6P5D8
Spmip10	Q9D9I1
Smim19	Q80ZU4
Smim1	P0C8K7
Smim3	Q99PE5
Smim5	Q8BT42
Smim7	Q5RKS2
Smim8	Q9CQQ0
Smim9	Q3V0X1
Spmip1	B9EJX3
SPMIP3	Q9DAA7
Spmip4	Q9D5Y0
Spmip5	Q9CQT6
SPMIP6	Q2MH31
Spmip7	Q5NC83
Spmip8	Q6IMH0
Spmip9	Q9DAG4
Smok2a	Q9QYZ6
Smok2b	Q9QYZ3
Smok3a	C0HKC8
Smok3b	C0HKC9
Smoktcr	A2KF29
Stk-ps2	Q8C0V7
Gm7168	A0AUV4
Gm4922	Q8C0N0
Smn1	P97801
Smoc1	Q8BLY1
Smoc2	Q8CD91
Smok1	Q9QYZ4
Smox	Q99K82
Smo	P56726
Smpx	Q9DC77
Smr2	O35961
Smr3a	Q61900
Smarcc1	P97496
Smarcc2	Q6PDG5
Smarcad1	Q04692
Smarcd1	Q61466
Smarcd2	Q99JR8
Smarcd3	Q6P9Z1
Sgms1	Q8VCQ6
Sgms2	Q9D4B1
Sst	P60041
Smtnl1	Q99LM3
Smtnl2	Q8CI12
Smtn	Q921U8
Smu1	Q3UKJ7
Smurf1	Q9CUN6
Smurf2	A2A5Z6
Smug1	Q6P5C5
Smyd1	P97443
Smyd2	Q8R5A0
Smyd3	Q9CWR2
Smyd4	Q8BTK5
Smyd5	Q3TYX3
Napa	Q9DB05
Napb	P28663
Napg	Q9CWZ7
Snai1	Q02085
Snai2	P97469
Snai3	Q9QY31
Snapin	Q9Z266
Aanat	O88816
Sncaip	Q99ME3
Snd1	Q78PY7
Sned1	Q70E20
Smarcb1	Q9Z0H3
Snf8	Q9CZ28
Syngr1	O55100
Syngr2	O55101
Syngr3	Q8R191
Syngr4	Q9Z1L2
Snip1	Q8BIZ6
Snn	P61807
Snorc	Q9CXL7
Snap23	O09044
Snap25	P60879
Snap29	Q9ERB0
Snap47	Q8R570
Snapc1	Q8K0S9
Snapc2	Q91XA5
Snapc3	Q9D2C9
Snapc4	Q8BP86
Snapc5	Q8R2K7
Snph	Q80U23
Snrnp25	Q8VIK1
Snrnp27	Q8K194
Snrnp40	Q6PE01
Snrnp48	Q9D361
Snrk	Q8VDU5
Snrpa	Q62189
Snta1	Q61234
Sntn	Q8C9X1
Sntb1	Q99L88
Sntb2	Q61235
Sntg1	Q925E1
Sntg2	Q925E0
Snurf	Q9WU12
Sart1	Q9Z315
Snw1	Q9CSN1
Snx10	Q9CWT3
Snx11	Q91WL6
Snx12	O70493
Snx13	Q6PHS6
Snx14	Q8BHY8
Snx15	Q91WE1
Snx16	Q8C080
Snx17	Q8BVL3
Snx18	Q91ZR2
Snx19	Q6P4T1
Snx1	Q9WV80
Snx20	Q9D2Y5
Snx21	Q3UR97
Snx24	Q9CRB0
Snx25	Q3ZT31
Snx27	Q3UHD6
Snx29	Q9D3S3
Snx2	Q9CWK8
Snx30	Q8CE50
Snx31	Q6P8Y7
Snx32	Q80ZJ7
Snx33	Q4VAA7
Snx3	O70492
Snx4	Q91YJ2
Snx5	Q9D8U8
Snx6	Q6P8X1
Snx7	Q9CY18
Snx8	Q8CFD4
Snx9	Q91VH2
Siglec1	Q62230
Slco1a1	Q9QXZ6
Slco1a4	Q9EP96
Slco1a5	Q91YY5
Slco1a6	Q99J94
Slco1b2	Q9JJL3
Slco1c1	Q9ERB5
Slco2a1	Q9EPT5
Slco2b1	Q8BXB6
Slco3a1	Q8R3L5
Slco4a1	Q8K078
Slco4c1	Q8BGD4
Slco6c1	Q8C0X7
Soat1	Q61263
Soat2	O88908
Slc10a6	Q9CXB2
Sobp	Q0P5V2
Socs1	O35716
Socs2	O35717
Socs3	O35718
Socs4	Q91ZA6
Socs5	O54928
Socs6	Q9JLY0
Socs7	Q8VHQ2
Sod1	P08228
Sod3	O09164
Sod2	P09671
Soga1	E1U8D0
Soga3	Q6NZL0
Sohlh1	Q6IUP1
Sohlh2	Q9D489
Gh1	P06880
Son	Q9QX47
Sorcs1	Q9JLC4
Sorcs2	Q9EPR5
Sorcs3	Q8VI51
Sri	Q6P069
Sorl1	O88307
Sort1	Q6PHU5
Sos1	Q62245
Sos2	Q02384
Nabp2	Q8R2Y9
Nabp1	Q8BGW5
Sostdc1	Q9CQN4
Inip	Q3TXT3
Sost	Q99P68
Sox10	Q04888
Sox11	Q7M6Y2
Sox12	Q04890
Sox13	Q04891
Sox14	Q04892
Sox15	P43267
Sox16	Q62247
Sox17	Q61473
Sox18	P43680
Sox19	Q62249
Sox1	P53783
Sox21	Q811W0
Sox2	P48432
Sox30	Q8CGW4
Sox3	P53784
Sox4	Q06831
Sox5	P35710
Sox6	P40645
Sox7	P40646
Sox8	Q04886
Sox9	Q04887
Pipox	Q9D826
Sp100	O35892
Sp110	Q8BVK9
Sap130	Q8BIH0
Supt16h	Q920B9
Spa17	Q62252
Sp1	O89090
Supt20h	Q7TT00
Sprr2a1	Q9CQK8
Sprr2a3	Q4KL71
Sp2	Q9D2H6
Sap30l	Q5SQF8
Sp3	O70494
Sp4	Q62445
Sp5	Q9JHX2
Sp6	Q9ESX2
Sp7	Q8VI67
Sp8	Q8BMJ8
Sp9	Q64HY3
Serpina11	Q8CIE0
Serpina12	Q7TMF5
Spata24	Q6P926
Spata2l	Q8BNN1
Serpina3a	Q6P4P1
Serpina3b	Q8BYY9
Serpina3c	P29621
Serpina3f	Q80X76
Serpina3g	Q5I2A0
Serpina3k	P07759
Serpina3m	Q03734
Serpina3n	Q91WP6
Spata6l	B2RV46
Serpina9	Q9D7D2
Spaca7	Q9D2S4
Spag1	Q80ZX8
Spag4	Q9JJF2
Spag5	Q7TME2
Spag6	Q9JLI7
Spag7	Q7TNE3
Spag8	Q3V0Q6
Spart	Q8R1X6
Spaar	A0A1B0GSZ0
Spats1	A2RRY8
Spats2	Q8K1N4
Spast	Q9QYY8
Spata1	Q9D5R4
Spata2	Q8K004
Spata4	Q8K3V1
Spata6	Q3U6K5
Spata7	Q80VP2
Spata9	Q9D9R3
Serpinb10	Q8K1K6
Serpinb11	Q9CQV3
Serpinb12	Q9D7P9
Serpinb13	Q8CDC0
Ftsj3	Q9DBE9
Serpinb5	P70124
Serpinb6	Q60854
Serpinb7	Q9D695
Serpinb8	O08800
Sbp	P15501
Spatc1l	Q9D9W0
Spc24	Q9D083
Spc25	Q3UA16
Spcs1	Q9D958
Spcs2	Q9CYN2
Spcs3	Q6ZWQ7
Sepsecs	Q6P6M7
Sh3pxd2a	O89032
Sh3pxd2b	A2AAY5
Spdef	Q9WTP3
Spdl1	Q923A2
Spdya	Q5IBH7
Vipas39	Q8BGQ1
Spdye4a	Q5IBH6
Srm	Q64674
Spef1	Q99JL1
Spef2	Q8C9J3
Speg	Q62407
Spem1	Q5F289
Spem2	Q8C5U4
Spatc1	Q148B6
Spesp1	Q9D5A0
Bcas2	Q9D287
Smndc1	Q8BGT7
Rbm17	Q8JZX4
Spag16	Q8K450
Spag17	Q5S003
Spg21	Q9CQC8
Spg7	Q3ULF4
Sphk1	Q8CI15
Sphk2	Q9JIA7
Spi1	P17433
Spin2c	Q6NVE3
Serpini2	Q9JK88
Spib	O35906
Spice1	Q8C804
Spic	Q6P3D7
Spidr	Q8BGX7
Spinkl	Q8CEK3
Spin1	Q61142
Spin4	Q8K1L2
Spire1	Q52KF3
Spire2	Q8K1S6
Spint1	Q9R097
Spint2	Q9WU03
Spint4	Q9D263
Sphkap	Q6NSW3
Spmap1	Q9DAQ5
Spmap2	Q9JMB1
Snupn	Q80W37
Nckipsd	Q9ESJ4
Spindoc	Q05AH6
Spns1	Q8R0G7
Spns2	Q91VM4
Spns3	Q9D232
Spo11	Q9WTK8
Spo16	Q3KQP7
Spocd1	B1ASB6
Spon1	Q8VCC9
Spon2	Q8BMS2
Spopl	Q2M2N2
Spop	Q6ZWS8
Spp2	Q8K1I3
Sppl2a	Q9JJF9
Sppl2b	Q3TD49
Sppl2c	A2A6C4
Sppl3	Q9CUS9
Sprr1a	Q62266
Sprr1b	Q62267
Sprr2b	O70554
Sprr2d	O70555
Sprr2e	O70556
Sprr2f	O70557
Sprr2g	O70558
Sprr2h	O70559
Sprr2i	O70560
Sprr2j	O70561
Sprr2k	O70562
Sparc	P07214
Spred1	Q924S8
Spred2	Q924S7
Spred3	Q6P6N5
Spr	Q64105
Sparcl1	P70663
Spring1	Q8BTG6
Sprn	Q8BWU1
Sprr3	O09116
Sprr4	Q8CGN8
Sprtn	G3X912
Spry3	Q3UUD2
Spryd4	Q91WK1
Spryd7	Q3TFQ1
Sephs1	Q8BH69
Spats2l	Q91WJ7
Sephs2	P97364
Spsb1	Q9D5L7
Spsb2	O88838
Spsb3	Q571F5
Spsb4	Q8R5B6
Sms	P97355
Spata13	Q5DU57
Spata16	Q8C636
Spata17	Q9D552
Spata19	Q9DAQ9
Spata20	Q80YT5
Spata21	Q8BHW6
Spata22	Q5SV06
Spata25	Q9DA57
Spty2d1	Q68FG3
Spata31	E9QAF0
Spata32	Q8C5V0
Spata33	Q8C624
Spata45	Q9CVW4
Spata46	Q4FZF2
Supt4h1a	P63271
Supt4h1b	Q9Z199
Supt5h	O55201
Supt6h	Q62383
Spta1	P08032
Spata3	Q9D9T6
Sptb	P15508
Sptbn1	Q62261
Sptlc1	O35704
Sptlc2	P97363
Sptlc3	Q8BG54
Spg11	Q3UHA3
Sptan1	P16546
Sptssa	Q8R207
Sptssb	Q925E8
Slc37a3	Q3TIT8
Spx	D3Z752
Spry1	Q9QXV9
Spry2	Q9QXV8
Spry4	Q9WTP2
Spz1	Q99MY0
Sqor	Q9R112
Sqstm1	Q64337
U2surp	Q6NV83
Srek1ip1	Q4V9W2
Sra1	Q80VJ2
Serac1	Q3U213
Srarp	Q3ULG3
Ssc4d	A1L0T3
Srbd1	Q497V5
Srebf1	Q9WTN3
Srebf2	Q3U1N2
Sorbs1	Q62417
Sorbs2	Q3UTJ2
Cttn	Q60598
Srl	Q7TQ48
Srcin1	Q9QWI6
Ssc5d	Q8BV57
Src	P05480
Scarf2	P59222
Scarf1	Q5ND28
Srek1	Q8BZX4
Srfbp1	Q9CZ91
Srf	Q9JM73
Sergef	Q80YD6
Srgn	P13609
Srgap1	Q91Z69
Srgap2	Q91Z67
Srgap3	Q812A2
Srms	Q62270
Srp9	P49962
Srp14	P16254
Srp19	Q9D7A6
Srp54	P14576
Srp68	Q8BMA6
Srpk1	O70551
Srpk2	O54781
Srpk3	Q9Z0G2
Srpra	Q9DBG7
Srprb	P47758
Srpx2	Q8R054
Srpx	Q9R0M3
Srrd	Q8K2M3
Srrm1	Q52KI8
Srrm2	Q8BTI8
Srrm3	Q80WV7
Srrm4	Q8BKA3
Srrt	Q99MR6
Srr	Q9QZX7
Srsf10	Q9R0U0
Srsf12	Q8C8K3
Srsf1	Q6PDM2
Srsf2	Q62093
Srsf3	P84104
Srsf4	Q8VE97
Srsf5	O35326
Srsf6	Q3TWW8
Srsf7	Q8BL97
Srsf9	Q9D0B0
Sertad1	Q9JL10
Sertad2	Q9JJG5
Sertad3	Q9ERC3
Sertad4	A7DTG3
Sertm1	Q8CD78
SERTM2	A0A1B0GSN8
Srxn1	Q9D975
Sry	Q05738
Ssbp2	Q9CYZ8
Ssbp3	Q9D032
Ssbp1	Q9CYR0
Aldh5a1	Q8BWF0
Ppan	Q91YU8
Ssh1	Q76I79
Ssh2	Q5SW75
Ssh3	Q8K330
Ssna1	Q9JJ94
Sspn	Q62147
Sspo	Q8CG65
Sstr1	P30873
Sstr2	P30875
Sstr3	P30935
Sstr4	P49660
Sstr5	O08858
Ssr1	Q9CY50
Ssr2	Q9CPW5
Ssr4	Q62186
Ssr3	Q9DCF9
Ssrp1	Q08943
Ssty1	P13675
Ssu72	Q9CY97
Ssuh2	Q8C3L1
Ssxa1	B1AUS7
Ss18	Q62280
St14	P56677
Stk17b	Q8BG48
St18	Q80TY4
Sult1a1	P52840
Sult1b1	Q9QWG7
Sult1c1	Q80VR3
Sult1c2	Q9D939
Sult1d1	Q3UZZ6
Sult1e1	P49891
Sult2a1	P52843
Sult2a2	P50236
Sult2a8	Q8BGL3
Sult2b1	O35400
Stk32a	Q8BGW6
Stk32b	Q9JJX8
Stk32c	Q8QZV4
Stk38l	Q7TSE6
Sult3a1	O35403
Sult4a1	P63046
Supt7l	Q9CZV5
Sult6b1	P0CC03
St7l	Q8K4P7
St7	Q99M96
Stard10	Q9JMD3
Stard13	Q923Q2
Stat5a	P42230
Stat5b	P42232
Stab1	Q8R4Y4
Stab2	Q8R4U0
Stambp	Q9CQ26
Stac2	Q8R1B0
Stac3	Q8BZ71
Stac	P97306
Stag1	Q9D3E6
Stag2	O35638
Stag3	O70576
Stambpl1	Q76N33
Stam	P70297
Stam2	O88811
Stap1	Q9JM90
Stap2	Q8R0L1
Stard3	Q61542
Stard4	Q99JV5
Stard5	Q9EPQ7
Stard6	P59096
Stard7	Q8R1R3
Stard8	Q8K031
Stard9	Q80TF6
Star	P51557
Stat1	P42225
Stat2	Q9WVL2
Stat3	P42227
Stat4	P42228
Stat6	P52633
Stau1	Q9Z108
Stau2	Q8CJ67
Stxbp5l	Q5DQR4
Stbd1	Q8C7E7
Stc1	O55183
Stc2	O88452
Steap1	Q9CWR7
Steap2	Q8BWB6
Steap3	Q8CI59
Steap4	Q923B6
Steep1	Q8VDP2
Nr5a1	P33242
Stil	Q60988
Stim1	P70302
Stim2	P83093
Stimate	Q3UF25
Sting1	Q3TBT3
Stip1	Q60864
Stk10	O55098
Stk11	Q9WTK7
Stk16	O88697
Stk19	Q9JHN8
Stk24	Q99KH8
Stk25	Q9Z2W1
Stk26	Q99JT2
Stk31	Q99MW1
Stk33	Q924X7
Stk35	Q80ZW0
Stk36	Q69ZM6
Stk38	Q91VJ4
Stk39	Q9Z1W9
Stk3	Q9JI10
Stk40	Q7TNL3
Stk4	Q9JI11
Stkld1	Q80YS9
Stmnd1	Q6P3A1
Stoml1	Q8CI66
Stoml2	Q99JB2
Stoml3	Q6PE84
Stmn1	P54227
Stmn2	P55821
Stmn3	O70166
Stmn4	P63042
Stmp1	P0DP99
Stn1	Q8K2X3
Stom	P54116
Ston1	Q8CDJ8
Ston2	Q8BZ60
Stox1	B2RQL2
Stox2	Q499E5
Tnp1	P10856
Tnp2	P11378
Tut1	Q8R3F9
Stpg1	Q9D2F5
Stpg2	Q8C8J0
Stpg3	A2RSX4
Stpg4	Q9DAG5
Stard3nl	Q9DCI3
Stra6l	Q9DBN1
Stra6	O70491
Stra8	P70278
Strada	Q3UUJ4
Stradb	Q8K4T3
Strap	Q9Z1Z2
Strbp	Q91WM1
Strc	Q8VIM6
Strn3	Q9ERG2
Strn4	P58404
Strn	O55106
Strip1	Q8C079
Strip2	Q8C9H6
Sts	P50427
Stt3a	P46978
Stt3b	Q3TDQ1
Stum	Q0VBF8
Stx11	Q9D3G5
Stx12	Q9ER00
Stx16	Q8BVI5
Stx17	Q9D0I4
Stx18	Q8VDS8
Stx19	Q8R1Q0
Stx1a	O35526
Stx1b	P61264
Stx2	Q00262
Stx3	Q64704
Stx4	P70452
Stx5	Q8K1E0
Stx6	Q9JKK1
Stx7	O70439
Stx8	O88983
Stxbp1	O08599
Stxbp2	Q64324
Stxbp3	Q60770
Stxbp4	Q9WV89
Stxbp5	Q8K400
Stxbp6	Q8R3T5
Styk1	Q6J9G1
Styxl2	Q148W8
Styx	Q60969
Suclg1	Q9WUM5
Sucla2	Q9Z2I9
Suclg2	Q9Z2I8
Sugct	Q7TNE1
Suco	Q8C341
Sucnr1	Q99MT6
Sufu	Q9Z0P7
Sugp1	Q8CH02
Sugp2	Q8CH09
Rbpj	P31266
Sulf1	Q8K007
Sulf2	Q8CFG0
Sumf1	Q8R0F3
Sumf2	Q8BPG6
Sumo1	P63166
Sumo2	P61957
Sumo3	Q9Z172
Sun1	Q9D666
Sun2	Q8BJS4
Sun3	Q5SS91
Sun5	Q9DA32
Suox	Q8R086
Surf1	P09925
Surf2	P09926
Surf4	Q64310
Surf6	P70279
Susd2	Q9DBX3
Susd3	Q9D176
Susd4	Q8BH32
Susd6	Q8BGE4
Supv3l1	Q80YD1
Suv39h1	O54864
Suv39h2	Q9EQQ0
Suz12	Q80U70
Sv2a	Q9JIS5
Sv2b	Q8BG39
Sv2c	Q69ZS6
Svbp	Q99LQ4
Svep1	A2AVA0
Svil	Q8K4L3
Svip	Q3UZP4
Svopl	Q6PDF3
Svop	Q8BFT9
Svs3a	F2Z472
Svs4	P18419
Svs5	P30933
Svs6	Q64356
Sowaha	Q8BLS7
Sowahb	Q8BZW2
Sowahc	Q8C0J6
Sowahd	Q8BY98
Swsap1	Q8VCI7
Slc50a1	Q9CXK4
Swi5	Q8K3D3
Swap70	Q6A028
Swt1	Q9DBQ9
Aars1	Q8BGQ7
Aars2	Q14CH7
Syap1	Q9D5V6
Sybu	Q8BHS8
Syce1l	Q5D525
Sycp2l	A0A0M3U1B0
Cars1	Q9ER72
Syce1	Q9D495
Syce2	Q505B8
Syce3	B5KM66
Cars2	Q8BYM8
Sycn	Q8VCK7
Sycp1	Q62209
Sycp2	Q9CUU3
Sycp3	P70281
Dars1	Q922B2
Syde1	Q9DBZ9
Dars2	Q8BIP0
Ears2	Q9CXJ1
Eprs1	Q8CGC7
Xab2	Q9DCD2
Syf2	Q9D198
Farsa	Q8C0C7
Farsb	Q9WUA2
Fars2	Q99M01
Syngap1	F6SEU4
Hars2	Q99KK9
Iars1	Q8BU30
Iars2	Q8BIJ6
Synj2bp	Q9D6K5
Kars1	Q99MN1
Lars1	Q8BMJ2
Lars2	Q8VDC0
Mars1	Q68FL6
Mars2	Q499X9
Sympk	Q80X82
Syndig1l	Q3USQ7
Syn1	O88935
Syn2	Q64332
Syn3	Q8JZP2
Syna	Q5G5D5
Synb	Q8BI41
Sync	Q9EPM5
NARS1	Q8BP47
Syne1	Q6ZWR6
Syne2	Q6ZWQ0
Syne3	Q4FZC9
Syne4	Q8CII8
Synm	Q70IV5
Syndig1	A2ANU3
Synj1	Q8CHC4
Synj2	Q9D2G5
Nars2	Q8BGV0
Synpo2	Q91YE8
Synpo	Q8CC35
Synpr	Q8BGN8
Synrg	Q5SV85
Synpo2l	Q8BWB1
Syp	Q62277
Sypl1	O09117
Sypl2	O89104
Pars2	Q8CFI5
Qars1	Q8BML9
Rars1	Q9D0I9
Rars2	Q3U186
Sys1	Q78S06
Sars1	P26638
Sars2	Q9JJL8
Syt10	Q9R0N4
Syt11	Q9R0N3
Syt12	Q920N7
Syt13	Q9EQT6
Syt14	Q7TN84
Syt15	Q8C6N3
Syt16	Q7TN83
Syt17	Q920M7
Syt1	P46096
Syt2	P46097
Syt3	O35681
Syt4	P40749
Syt5	Q9R0N5
Syt6	Q9R0N8
Syt7	Q9R0N7
Syt8	Q9R0N6
Syt9	Q9R0N9
Tars3	Q8BLY2
Tars1	Q9D0R2
Sytl1	Q99N80
Sytl2	Q99N50
Sytl3	Q99N48
Sytl4	Q9R0Q1
Sytl5	Q80T23
Tars2	Q3UQ84
Snca	O55042
Sncb	Q91ZZ3
Sncg	Q9Z0F7
Vars1	Q9Z1Q9
Vars2	Q3U2A8
Syvn1	Q9DBY1
Wars1	P32921
Wars2	Q9CYK1
Yars1	Q91WQ3
Yars2	Q8BYL4
Szrd1	Q6NXN1
Szt2	A2A9C3
Tmem106a	Q8VC04
Tmem106b	Q80X71
Tmem106c	Q80VP8
Timm10b	Q9WV96
Tcp11l1	Q8BTG3
Tcp11l2	Q8K1H7
Tmem120b	Q3TA38
Tmem121b	Q99MX7
Tmem126a	Q9D8Y1
Tmem126b	Q9D1R1
Tmem131l	Q3U3D7
Tmem132a	Q922P8
Tmem132c	Q8CEF9
Tmem132d	Q76HP3
Tmem132e	Q6IEE6
Tex13c1	D3YU32
Tmem150a	Q91WN2
Tmem150b	Q8R218
Tmem150c	Q8C8S3
Tmem151a	Q6GQT5
Tmem151b	Q68FE7
Tmem161a	Q8VCA6
Tmem161b	Q8C2L6
Tmem170a	Q9D342
Tmem170b	P86050
Tmem176a	Q9DCS1
Tmem176b	Q9R1Q6
Tmem178a	Q9CZ16
Tmem179	Q8BHH9
Tmem179b	Q9CY24
Tmem184a	Q3UFJ6
Tmem184b	Q8BG09
Tmem184c	Q3TPR7
Tmem185a	A2AF53
Tmem185b	Q8R3R5
Tmem191c	Q9JJB1
Tmem200a	Q8C817
Tmem229a	B9EJI9
TMEM229B	Q8BFQ2
Tsc22d1	P62500
Tsc22d2	E9Q7M2
Tsc22d3	Q9Z2S7
Tsc22d4	Q9EQN3
Tdo2	P48776
Tmem255a	Q8BHW5
Tmem255b	Q5FW56
Gtf2a2	Q80ZM7
Gtf2e1	Q9D0D5
Gtf2e2	Q9D902
Gtf2f1	Q3THK3
Gtf2f2	Q8R0A0
Tas2r13	Q7M720
Tas2r16	P59529
Tas2r38	Q7TQA6
Tas2r39	Q7TQA5
Tas2r40	Q7TQB8
Tas2r41	P59532
Srst	Q06666
L3hypdh	Q9CXA2
Traf3ip3	Q8C0G2
Tm4sf1	Q64302
Tm4sf20	Q9CQY8
Tm4sf4	Q91XD3
Trp53inp1	Q9QXE4
Tp53inp2	Q8CFU8
Tas2r3	Q7TQA7
Tas2r4	Q9JKT3
Tas2r7	P59530
Tbxa2r	P30987
Taar7a	Q5QD12
Taar7b	Q5QD11
Taar7d	Q5QD10
Taar7e	Q5QD09
Taar7f	Q5QD08
Taar8a	Q5QD07
Taar8b	Q5QD06
Taar8c	Q5QD05
Taar1	Q923Y8
Taar2	Q5QD17
Taar3	Q5QD16
Taar4	Q5QD15
Taar5	Q5QD14
Taar6	Q5QD13
Taar9	Q5QD04
Tab1	Q8CF89
Tab2	Q99K90
Tab3	Q571K4
Tc2n	Q91XT6
Tmem120a	Q8C1E7
Tacc1	Q6Y685
Tacc2	Q9JJG0
Tacc3	Q9JJ11
Tacstd2	Q8BGV3
Taco1	Q8K0Z7
Cd96	Q3U0X8
Tada2a	Q8CHV6
Tada1	Q99LM9
Tada3	Q8R0L9
Tardbp	Q921F2
Taf10	Q8K0H5
Taf11	Q99JX1
Taf12	Q8VE65
Taf13	P61216
Taf1a	P97357
Taf1b	P97358
Taf1c	Q6PDZ2
Taf1d	Q9D4V4
Taf1	Q80UV9
Taf2	Q8C176
Taf3	Q5HZG4
Taf4b	G5E8Z2
Taf5l	Q91WQ5
Taf5	Q8C092
Taf6l	Q8R2K4
Taf6	Q62311
Taf7l	Q9D3R9
Taf7	Q9R1C0
Taf8	Q9EQH4
Taf9b	Q6NZA9
