GeneID	Bulk RNA-seq IU_Finnerty_Estrus_n1	Bulk RNA-seq IU_Finnerty_Estrus_n2	Bulk RNA-seq IU_Finnerty_Estrus_n3	Bulk RNA-seq IA_Finnerty_Estrus_n1	Bulk RNA-seq IA_Finnerty_Estrus_n2	Bulk RNA-seq IA_Finnerty_Estrus_n3
Dhrs2	5	2	8	0	0	0
Gm8894	116	111	162	65	43	54
Dhrs4	1613	2091	2886	1493	1243	1442
Carmil3	114	212	459	139	71	188
Cpne6	2	5	0	0	0	0
Nrl	0	2	0	2	0	0
Gm10876	0	0	2	1	2	4
Pck2	1635	3427	3345	2766	2717	4414
Dcaf11	5178	5792	7231	5450	5772	7668
Fitm1	16	8	8	2	7	2
Psme1	3593	3821	5057	2838	2905	3436
Emc9	143	177	315	160	151	213
Psme2	1813	1648	2310	1616	1603	1400
Rnf31	1338	1932	2513	1373	1429	1838
Irf9	2337	3195	3616	1647	1222	1633
Rec8	608	1137	2495	2350	1210	2266
Ipo4	3383	3078	5356	5186	6514	5818
Tm9sf1	3938	3565	4936	5450	5843	6021
NA	2	3	1	7	6	1
Tssk4	66	96	92	84	100	145
Mdp1	1669	1394	2190	1467	1501	1577
Nedd8	1168	872	1369	966	1113	972
Gmpr2	930	863	1250	1018	1127	1024
Tinf2	618	628	892	735	802	743
Tgm1	75	79	138	638	1190	457
Rabggta	1018	925	1604	1783	2057	1917
Dhrs1	1987	2302	2921	3282	2965	2787
Nop9	1036	989	1590	1127	1333	1370
Cideb	21	21	16	2	6	0
Ltb4r2	24	43	50	7	2	22
Ltb4r1	39	56	99	13	12	36
Adcy4	340	405	569	161	204	130
Ripk3	164	141	124	97	117	55
Nfatc4	1427	2120	2850	958	779	1047
Nynrin	1619	2640	3665	819	978	913
Cbln3	13	26	27	14	15	18
Khnyn	1178	2017	2545	1964	2036	3411
Sdr39u1	1524	1610	2682	2313	2218	2863
Cma1	28	73	129	4	15	36
Mcpt-ps1	0	0	0	0	0	0
Cma2	2	2	1	0	0	0
Gm5801	23	19	36	32	21	20
Mcpt1	0	0	2	0	0	0
Mcpt9	0	0	0	0	0	0
Mcpt2	0	0	0	0	0	0
Mcpt4	43	76	149	4	0	28
Mcpt8	0	0	0	0	0	0
Ctsg	0	0	0	0	0	0
Gzme	0	0	0	0	0	0
Gzmd	0	0	0	0	0	0
Gzmg	0	0	0	0	0	0
Gzmn	0	0	0	0	0	0
Gzmf	0	0	0	0	0	0
Gzmc	0	2	4	6	4	6
Gzmb	10	10	12	6	2	5
Atp12a	7	60	80	47	4	19
Gm10873	0	1	0	0	0	0
Rnf17	85	72	91	29	74	67
Cenpj	369	462	649	532	662	570
Parp4	3009	3988	5988	2938	3539	4607
Mphosph8	4099	5916	7912	3249	3966	3168
Gm16973	155	175	314	168	221	239
Pspc1	1300	1095	2369	1893	2405	3004
Zmym5	1811	2362	3347	1640	1865	2551
2410022M11Rik	181	219	391	386	262	437
Zmym2	2696	3016	4540	2451	3081	3336
B020004C17Rik	0	0	0	0	0	0
Gja3	0	3	0	0	0	0
Gjb2	239	359	201	250	109	178
Gjb6	16	4	2	5	2	0
Cryl1	529	891	1126	629	606	972
Gm8971	26	28	68	25	26	32
Ift88	1374	1477	2793	6454	7976	10621
Il17d	246	372	661	277	148	225
Eef1akmt1	491	414	697	414	428	490
1700039M10Rik	0	0	0	0	0	0
Xpo4	505	559	910	418	767	558
NA	0	0	0	0	0	0
Lats2	2336	2575	4569	1397	2317	2087
Sap18	2387	2376	3979	2701	3276	3332
Mir3077	0	0	0	0	0	0
Ska3	28	34	13	44	46	82
Mrpl57	1057	803	1269	1047	1134	979
Zdhhc20	3605	4141	6390	2825	4103	4834
Micu2	2884	3300	4294	3577	4457	5387
Fgf9	150	190	269	93	117	158
1700129C05Rik	0	0	0	0	0	0
Gm5142	0	0	0	0	0	0
Rcbtb1	2107	2555	3856	2422	2733	3326
Phf11	6	11	22	4	2	5
Phf11a	27	49	43	18	17	10
Phf11b	125	157	138	41	47	35
Phf11d	380	715	595	193	161	160
Phf11c	38	50	87	22	22	36
Setdb2	262	191	310	144	155	151
Cab39l	2647	2852	3914	2862	3593	4510
Cdadc1	1308	1454	2397	1158	1309	1633
Shisa2	515	442	361	539	795	525
Atp8a2	37	42	89	23	31	26
Nup58	1241	1016	1743	852	1206	1146
Mir719	0	0	0	0	0	0
Mtmr6	2466	2416	3925	2403	2730	3166
Amer2	39	37	67	58	54	55
NA	13	16	27	22	6	12
Spata13	4582	7384	7677	4105	4212	4940
C1qtnf9	298	671	320	63	55	95
C1qtnf9bos	0	0	0	0	0	0
Mipep	2152	2170	2980	4663	4977	5620
Tnfrsf19	1418	3333	5481	3015	1579	3351
Sacs	55	39	98	11	39	2
Sgcg	148	670	276	15	115	38
Gm17778	2	2	20	0	0	2
1700109G14Rik	0	1	2	5	0	0
Arl11	70	98	98	25	32	23
Ebpl	377	437	552	466	443	825
Kpna3	2769	2480	4088	2049	2758	2672
4930556J02Rik	0	0	0	0	0	0
Spryd7	1048	846	1377	725	877	789
Trim13	398	357	530	453	507	545
Dleu2	147	301	287	304	252	455
Kcnrg	187	188	573	3363	3232	5783
NA	99	65	129	64	75	93
Mir16-1	0	0	0	0	1	1
Mir15a	0	0	0	0	0	0
NA	0	0	0	0	0	0
Dleu7	77	30	59	0	8	6
Rnaseh2b	553	352	438	451	743	702
Gucy1b2	4	0	0	0	0	0
NA	8	9	32	2	7	9
Fam124a	476	1417	999	338	336	279
Serpine3	16	11	30	9	21	23
Ints6	933	832	1628	637	1008	861
4931440J10Rik	0	1	11	5	1	3
Wdfy2	351	359	602	300	357	282
Defb48	0	0	0	0	0	0
Defb47	0	0	0	0	0	0
Defb43	0	0	0	0	0	0
Defb30	9	5	6	0	0	2
Defb42	0	0	0	0	0	0
2700070H01Rik	2	5	2	0	0	0
Ctsb	189564	127393	107038	49656	67310	38748
Fdft1	2839	1521	1823	1420	3370	1829
Neil2	63	219	207	111	176	422
Gata4	4	12	14	87	142	183
Blk	18	10	37	3	9	8
Fam167a	328	314	628	1907	2610	2371
Tdh	0	0	5	2	9	10
Mtmr9	1295	1278	2019	1465	1773	1500
Xkr6	31	37	41	25	20	18
Mir598	0	0	0	0	0	0
Pinx1	717	602	919	365	462	302
Sox7	3796	3815	4576	1404	1821	1327
4930578I06Rik	23	25	53	49	84	38
Rp1l1	85	92	177	237	138	139
Prss55	0	0	2	1	2	6
Prss51	1	0	0	0	1	5
4930471C04Rik	2	1	3	4	0	9
Prss52	16	6	2	4	11	11
Msra	672	682	947	775	851	685
5330427O13Rik	0	0	0	4	0	0
Mir124a-1hg	0	0	0	0	0	0
Mir124a-1	0	0	0	0	0	0
Mir3078	0	0	0	0	0	0
Kif13b	2530	4023	4181	2301	2909	3264
Hmbox1	924	1160	1620	799	1279	922
Ints9	1095	1106	1598	857	993	999
Extl3	4107	5182	6910	3252	4500	3373
Fzd3	1162	1897	2938	2900	2649	2820
Fbxo16	259	300	584	1114	1145	1579
Zfp395	2855	3873	4712	2597	2558	3335
Pnoc	49	221	1062	901	409	283
Elp3	2142	3054	3882	2595	3011	3604
Nuggc	2	12	7	6	16	3
Scara5	370	1136	1625	1038	277	837
Pbk	101	28	37	48	76	76
Esco2	49	20	36	15	42	20
Ccdc25	1014	982	1394	1330	1434	1561
1110020C17Rik	1	7	7	4	0	6
Scara3	409	471	725	1513	1002	3956
NA	0	0	4	12	10	32
Clu	17898	24339	28003	39449	38482	53023
Gulo	1768	3725	4285	1774	2679	671
Adam2	2	1	2	0	3	0
Ephx2	588	695	941	637	877	938
Chrna2	12	24	403	11	22	23
Ptk2b	3832	3493	7538	3649	4870	4741
Gm4583	6	16	8	5	33	8
1700001G11Rik	9	9	2	14	7	44
Trim35	3355	3593	6412	3023	3619	3464
Stmn4	2	0	18	0	2	4
NA	0	0	0	0	0	0
Adra1a	69	52	100	190	161	45
Gm10032	4	2	24	256	243	542
Dpysl2	430	526	785	348	411	499
Gm5464	2	0	4	2	3	10
Pnma2	12	2	14	0	0	2
Bnip3l	4299	6389	7038	5696	7545	8035
Ppp2r2a	3441	2580	4124	2128	3129	2884
Ebf2	6	10	10	2	0	0
Gm6878	0	0	0	0	2	0
4930438E09Rik	0	0	0	0	0	0
Gm10860	0	0	0	0	0	0
Cdca2	82	55	44	46	94	53
Kctd9	640	511	712	471	667	452
Gnrh1	6	7	21	10	15	7
Dock5	1559	1674	2425	1679	2343	2103
Nefl	0	8	14	2	2	4
Nefm	6	4	5	2	1	0
A230070E04Rik	0	4	2	0	0	0
Adam7	0	2	0	2	6	2
Adamdec1	56	330	201	299	323	639
Adam28	386	1075	708	1328	1329	1549
Stc1	5073	5315	8631	3558	5377	2711
1700092C10Rik	2	0	1	0	0	0
Nkx2-6	2	0	8	2	0	0
Nkx3-1	0	0	4	130	36	183
Slc25a37	1366	1319	2352	1296	1640	1793
Synb	0	0	0	6	3	1
Gm16677	0	0	0	0	0	0
Entpd4	30	26	39	10	32	21
NA	0	0	2	1	0	0
Gm21451	30	27	45	6	18	3
Gm16867	22	36	60	27	26	44
Gm20236	0	0	0	0	0	0
Entpd4b	76	56	92	27	65	73
Loxl2	1738	1353	2331	510	914	364
Gm10002	0	0	1	1	0	0
R3hcc1	885	1015	1581	738	790	1151
Chmp7	1991	2312	3249	1384	1837	1888
Tnfrsf10b	841	673	1196	327	484	342
Rhobtb2	2309	2454	5237	1313	1406	1275
Pebp4	4	8	6	10	12	35
Egr3	31	24	70	34	53	44
Bin3	974	1087	1465	1364	1631	2053
Ccar2	3089	3004	4786	4488	5445	5949
9930012K11Rik	133	95	284	169	143	170
Pdlim2	462	825	1136	262	216	274
Sorbs3	2903	4808	6521	5843	5465	11048
Ppp3cc	685	865	1119	590	699	740
Slc39a14	3961	7257	11264	1094	1099	912
Piwil2	98	110	176	52	119	49
Polr3d	1216	815	1336	755	1413	849
Mir320	0	1	1	0	2	0
Phyhip	1454	364	646	1416	1901	2162
Bmp1	4598	3858	6170	2133	2878	1381
Sftpc	14	15	40	380	286	734
Lgi3	198	641	1295	856	472	694
Reep4	982	881	1122	1129	1287	2098
Hr	625	766	1427	1534	1509	3114
Nudt18	673	856	1268	1090	1103	1752
Fhip2b	2222	2158	3014	1663	1984	1943
Dmtn	293	456	665	151	93	188
Fgf17	7	13	32	9	11	14
NA	0	0	0	0	0	0
Npm2	16	10	23	9	14	21
Xpo7	2346	2786	4463	2818	3398	3484
Dok2	56	70	104	36	34	33
2410012E07Rik	1	0	0	0	0	0
Gfra2	370	524	717	303	464	219
Gm4251	0	0	0	0	0	0
4930434J06Rik	0	0	0	0	0	0
Gm9195	4	4	22	0	0	0
Fndc3a	6655	9089	10278	5692	6674	5898
Gm9199	8	13	4	0	5	8
Cysltr2	2	14	11	6	0	0
Rcbtb2	1925	2318	3408	3067	3180	4711
Rb1	2018	2176	3342	1956	2456	2541
Mir687	0	0	2	0	0	1
Lpar6	906	1281	1688	694	712	910
Itm2b	62870	71653	80582	49262	45735	73015
Gm20290	112	74	123	53	70	54
Med4	631	834	1148	573	639	775
Nudt15	68	66	121	84	91	89
Sucla2	2476	2449	3985	2619	3047	3129
NA	19	32	65	35	21	53
4933402J15Rik	0	0	1	2	5	7
Htr2a	32	115	106	12	26	6
Esd	2710	3275	4446	2376	2585	3208
Lrch1	1694	2095	2910	1151	1733	1347
Gm10847	0	2	2	0	1	0
Gm4278	0	0	0	0	0	0
Rubcnl	42	76	79	15	14	19
Lrrc63	5	8	11	5	10	6
Lcp1	4252	4411	4823	3165	3006	2931
Gm15628	1	6	9	0	1	6
Cpb2	4	14	13	10	17	23
Zc3h13	2236	2314	3804	2404	3326	3137
Siah3	29	10	7	2	11	6
Cby2	0	0	0	2	0	0
Erich6b	0	0	1	0	0	0
Cog3	2145	2518	3366	1850	2320	2413
Slc25a30	445	386	553	173	286	242
Gm4285	101	262	360	170	172	375
Tpt1	50157	59935	89751	42264	47309	53922
Gm1974	0	1	2	1	0	0
Snora31	27	21	38	21	25	19
Gtf2f2	2968	3165	3269	3360	4361	4227
Gm9209	26	17	25	13	16	11
Kctd4	524	775	1266	379	487	903
Gpalpp1	2052	2401	3380	2435	2909	3404
Nufip1	420	398	696	438	509	578
Tsc22d1	8776	12940	24652	8898	9539	11235
NA	537	487	751	329	419	542
4930444M15Rik	0	0	1	0	0	2
Serp2	36	68	78	20	31	32
1700108F19Rik	14	11	13	2	6	0
Lacc1	424	473	809	293	360	364
Ccdc122	212	209	295	490	487	870
Enox1	86	69	130	25	34	39
Gm10132	192	191	209	125	232	156
Gm6994	0	0	0	0	0	0
Gm1587	0	0	0	0	0	1
Dnajc15	1081	768	1282	1670	1769	2076
Epsti1	1247	1298	1701	554	481	326
Gm19301	5	1	11	27	36	20
Fam216b	991	832	1536	7046	7995	10322
Mir1971	0	0	0	0	0	0
Tnfsf11	8	19	22	3	6	2
Akap11	3327	4523	6985	4297	5112	4896
Dgkh	3032	2367	3158	221	1219	208
Vwa8	5339	4762	6585	4046	5858	4146
Zfp957	2	0	2	8	5	3
NA	0	0	0	0	0	0
Rgcc	54	133	93	154	106	367
Naa16	393	375	657	303	545	441
Mtrf1	306	300	384	300	431	431
Kbtbd7	1016	1107	1705	1051	1517	1337
Kbtbd6	15	13	14	20	12	20
Wbp4	1569	1425	2353	1645	2137	2423
Elf1	3778	3878	5730	3833	4474	5044
Sugt1	1962	2610	3290	3017	3461	4541
Cnmd	2	8	23	2	0	4
4930452G13Rik	0	2	0	0	0	0
Mir759	0	0	0	0	0	0
Pcdh8	2	16	4	2	0	0
Gm10845	0	0	0	0	0	0
Olfm4	14	41	100	25	14	24
Pcdh17	6142	4540	6979	1275	2125	882
9630013A20Rik	2	0	0	1	0	0
4930529K09Rik	0	0	0	0	0	0
Diaph3	54	33	36	68	82	44
Tdrd3	1856	2156	3436	1489	1913	1855
Pcdh20	4	0	4	2	0	0
Gm5088	217	176	309	161	193	198
4930474H20Rik	0	0	0	0	0	0
Pcdh9	5	89	71	31	36	38
Gm19351	0	0	0	0	0	0
Spertl	0	0	0	0	0	0
Klhl1	0	0	0	0	0	0
Dach1	1417	1590	3083	225	168	249
Mzt1	2261	2434	3758	3569	5062	4726
Bora	153	130	250	202	203	216
Dis3	765	696	1158	584	896	644
Pibf1	503	529	835	784	1006	1359
Klf5	3003	3226	5149	1462	1755	1256
Gm5958	0	0	0	0	0	0
Klf12	201	324	440	312	375	342
Prr30	0	0	0	0	0	0
Tbc1d4	1010	664	958	2090	8381	2400
Gm19422	32	30	38	46	204	42
Commd6	750	815	1094	860	968	1329
Uchl3	451	285	594	407	612	378
Lmo7	2564	2313	3644	2931	4735	4305
Kctd12	16153	13031	19245	6108	7289	9208
Mir5130	0	0	0	0	0	0
4933432I03Rik	0	0	0	2	0	0
Acod1	2	24	31	0	2	4
Cln5	1115	1166	1720	1253	1509	1465
Fbxl3	2972	3820	5902	3743	4332	6673
Mycbp2	6108	6229	11386	4290	6460	4487
Scel	11	32	31	27	35	31
Slain1	543	666	940	3261	3891	4013
Slain1os	4	4	17	23	39	21
Ednrb	198	373	549	164	272	109
4930432J09Rik	0	0	0	2	0	0
D130079A08Rik	0	2	0	2	0	0
Pou4f1	14	8	17	8	10	4
Obi1	450	463	809	447	706	652
D130009I18Rik	0	0	0	0	0	0
NA	976	993	1659	881	987	1149
Rbm26	2498	2271	3634	1962	2838	2278
Ndfip2	1919	1862	2489	2312	2596	2542
5430440P10Rik	6	4	1	8	19	16
4930449E01Rik	0	0	0	0	0	0
9330188P03Rik	0	0	0	0	0	2
Spry2	1380	1420	2021	943	1051	1353
Frg2f4	0	0	0	0	0	0
Trim52	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
Frg2f11	0	0	0	0	0	0
Frg2f5	0	0	0	0	0	0
Frg2f6	0	0	0	0	0	0
Frg2f7	0	0	0	0	0	0
Frg2f9	0	0	0	0	0	0
Frg2f2	0	0	0	0	0	0
Frg2f12	0	0	0	0	0	0
Frg2f10	0	0	0	0	0	0
Frg2f13	0	0	0	0	0	0
Frg2f3	0	0	0	0	0	0
Slitrk1	6	6	2	0	2	0
Slitrk6	26	61	59	20	10	7
Frg2f8	0	0	0	0	0	0
Slitrk5	17	36	33	10	10	10
BC005512	0	0	0	0	0	2
4930524C18Rik	0	0	0	0	0	0
Mir17	0	0	0	0	0	0
Mir18	0	0	0	0	0	0
Mir19a	0	0	0	0	0	0
Mir20a	0	2	1	0	0	0
Mir19b-1	0	0	0	0	0	0
Mir17hg	126	108	147	66	71	70
Mir92-1	0	0	0	0	0	0
Gpc5	0	0	0	0	0	0
4930505G20Rik	0	0	0	0	0	0
Gpc6	258	527	899	114	106	166
Gm19845	0	0	2	1	0	0
Dct	0	0	0	6	0	0
Tgds	491	456	742	406	528	530
Gpr180	1165	1013	1848	1366	1450	1519
Sox21	23	10	8	1254	2600	1220
Gm9376	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0
Abcc4	1578	2437	3640	3327	2952	4574
Cldn10	5058	6006	4577	613	731	2034
Dzip1	1410	2295	2564	1591	2010	2888
Dnajc3	10446	12125	13777	15572	16736	13984
Uggt2	436	488	1035	304	402	371
Hs6st3	10	2	21	2	6	0
1700006F04Rik	0	0	1	0	0	0
Oxgr1	2	2	8	13	25	57
Mbnl2	4527	5485	9024	5455	6989	7422
NA	0	0	0	0	0	0
Rap2a	1573	2166	3094	3588	3838	5124
NA	0	0	0	0	0	0
Ipo5	7424	6558	9430	4805	6767	5503
Farp1	4489	4088	5854	3167	2729	4124
B930095G15Rik	594	539	788	459	413	814
Stk24	3237	4043	6233	2617	2652	3181
Slc15a1	3222	3372	5919	456	419	227
Dock9	4080	5400	9943	6861	9397	10997
Ubac2	1549	1736	2602	2413	2163	2652
Gpr18	26	20	47	10	16	8
Gpr183	88	84	136	44	40	33
Timm8a2	0	2	2	0	1	0
A330035P11Rik	133	203	300	134	169	216
Tm9sf2	11487	11245	14851	10654	13981	13132
Clybl	490	549	808	377	464	574
1700108J01Rik	0	0	0	0	0	0
Gm5089	4	3	1	109	96	154
Zic5	2	0	2	49	60	54
2610035F20Rik	0	0	0	0	2	5
Zic2	2	2	4	3	7	16
Gm10837	2	0	0	0	1	1
Pcca	721	611	1233	759	847	839
Ggact	833	906	1353	720	760	1054
NA	88	63	96	24	16	32
Tmtc4	3502	1275	2080	884	1420	1140
AA536875	6	1	13	5	3	0
Nalcn	87	122	206	30	28	27
Itgbl1	77	231	101	52	29	44
Fgf14	7	6	22	0	2	4
1700024B18Rik	0	0	0	0	0	0
Selenop	9306	26717	25049	25902	10945	46177
Ccdc152	37	93	74	32	31	37
Ghr	2358	2329	3390	2167	2308	4218
Fbxo4	785	702	948	820	904	779
Rimoc1	3647	4169	5857	2422	3267	3050
Gm2093	2	18	14	20	24	38
BC037032	87	119	213	176	215	250
Oxct1	10659	13552	12456	11318	14565	11856
NA	0	0	0	0	0	0
Plcxd3	11	44	42	11	41	7
C6	14	26	11	2	2	0
Mroh2b	0	0	0	0	0	0
C7	22	270	171	63	9	46
Card6	511	663	812	568	629	648
Rpl37	7788	8628	13274	5352	6003	6900
Snord72	13	20	18	3	7	2
Prkaa1	2449	2925	4457	2442	3077	3426
Ttc33	804	1071	1449	862	992	1422
Ptger4	3488	2688	3676	2511	4141	2987
5430437J10Rik	4	11	12	0	0	2
Dab2	2683	2915	4215	1130	1700	810
C9	7	9	11	2	0	0
Fyb	559	711	944	159	171	123
Rictor	2813	3168	5377	2080	2893	3024
Osmr	779	964	1009	425	484	327
Lifr	4280	5121	6274	2602	2734	3514
Egflam	4414	7247	10436	4669	4453	3538
Gdnf	32	24	78	6	5	11
Wdr70	360	380	665	452	518	446
NA	0	0	0	0	4	0
Nup155	1172	1128	2200	1073	1438	1436
Cplane1	1037	1371	2489	2910	4140	4850
Nipbl	4754	5234	8165	4606	6326	6374
Slc1a3	5334	7600	13596	9410	7587	7294
Ranbp3l	3	12	3	0	2	2
Nadk2	1044	1661	2034	1581	1551	2195
Skp2	208	121	370	212	213	196
Lmbrd2	1014	823	1287	492	922	596
NA	1	3	1	1	1	1
Ugt3a1	0	0	0	0	0	0
Ugt3a2	0	0	0	0	0	0
Capsl	1129	1330	2727	6139	6495	9945
Il7r	40	68	112	61	39	36
Spef2	401	369	635	2556	3218	3381
Prlr	522	518	727	125	316	81
Agxt2	0	0	8	2	3	8
Dnajc21	690	718	1411	675	925	955
Brix1	1308	1004	1912	989	1347	1298
Rad1	159	215	404	229	212	321
NA	0	1	1	0	0	0
Ttc23l	0	0	2	0	1	0
Rai14	864	1165	1873	943	1314	1628
Gm10389	5	0	6	0	6	1
4930556M19Rik	58	115	264	158	212	442
Gm19276	0	0	0	0	0	0
C1qtnf3	780	2657	4147	379	308	234
Amacr	471	486	769	531	501	668
Slc45a2	0	0	0	0	0	0
Rxfp3	2	49	31	10	7	10
Adamts12	612	1133	1038	296	333	189
Tars	2693	2375	3543	2113	3229	2338
Npr3	323	831	1467	310	1250	556
Gm5144	3	12	15	1	6	4
1700047G03Rik	0	0	0	0	0	0
Sub1	2617	2656	3841	2907	2906	3315
Zfr	4646	5734	8745	4714	5672	6614
Mir1898	7	10	24	4	11	8
Gm2573	27	37	46	24	31	31
Mtmr12	1911	2050	2992	2386	3089	3015
Golph3	12771	12557	19932	9403	10031	11013
Pdzd2	2726	2950	4254	1998	2954	3062
NA	26	62	31	14	27	37
Gm17756	0	0	0	0	0	0
6030458C11Rik	1680	1461	2584	1184	1601	1502
Drosha	4239	4188	6871	4937	6113	6609
Cdh6	273	199	410	84	42	24
Cdh9	8	14	4	6	8	2
4921515E04Rik	0	0	0	0	0	0
Cdh10	12	10	8	8	2	4
Acot10	7	4	6	3	2	8
Cdh12	2	0	2	0	6	2
Hnrnpa1l2-ps2	6	6	0	2	4	3
Cdh18	6	4	3	9	4	4
Gm2824	2	0	0	6	0	0
9230109A22Rik	4	0	4	6	3	2
NA	0	0	0	0	0	0
Basp1	1665	1677	2922	8919	7713	6941
Gm48957	4	0	2	0	0	0
Myo10	8507	10552	11983	2877	3669	2395
Retreg1	1866	2628	3359	6405	6393	9855
Zfp622	1647	2571	2847	1641	1943	2855
Marchf11	2	0	0	0	0	0
Fbxl7	424	1028	1378	488	248	273
NA	3	2	2	6	0	3
D130046C19Rik	2	0	2	3	4	7
Ank	3773	2257	4456	1439	1741	2699
Tiaf2	0	0	0	0	4	0
Gm9948	22	8	22	10	15	4
Otulin	1166	1211	1869	1128	1113	1171
Otulinl	264	367	528	328	264	494
Trio	4441	6634	11708	5510	5795	7192
Gm20555	0	0	0	2	0	2
Dnah5	3069	3239	9711	51843	76052	91437
Mir3964	0	0	0	0	0	0
Ctnnd2	69	84	119	76	30	128
4930430F21Rik	0	0	0	0	0	0
Dap	4415	4539	4715	2887	3350	3089
Ankrd33b	78	101	160	426	369	1051
Ropn1l	85	97	198	472	511	1326
Marchf6	5072	6525	9801	6296	7748	8719
Cmbl	202	350	719	831	544	1984
Cct5	7186	8237	11808	7901	9346	11322
Atpsckmt	432	304	548	415	477	383
Tas2r119	0	0	0	0	0	0
Snhg18	1375	2128	2775	807	675	1037
Snord123	5	24	25	4	3	7
Sema5a	2921	7983	12553	2344	2543	2031
Sdc2	2626	3227	4613	2207	2751	3385
Cpq	2419	2897	3385	1532	1980	1682
1700084J12Rik	0	0	0	0	4	0
4930592A05Rik	0	0	3	0	3	0
Tspyl5	328	463	722	679	819	1148
Mtdh	5198	5036	8253	3344	4331	4019
NA	29	28	48	29	26	26
Laptm4b	6234	6656	7971	5218	5233	6155
Matn2	2311	7199	11388	2539	1282	2423
9430069I07Rik	0	1	0	0	1	0
Rpl30	8788	9396	14368	6613	8018	8730
Erich5	0	0	4	27	8	17
Rida	344	437	657	332	377	678
Pop1	309	183	316	240	272	219
Nipal2	1368	1262	1812	1822	2097	1701
4930413F20Rik	14	26	28	15	54	33
Kcns2	0	0	2	0	0	0
Stk3	1796	1795	2864	2217	2708	2877
Osr2	3488	4579	7628	1456	1709	1065
BC048602	1	0	6	1	0	0
Vps13b	3016	4036	6117	3566	4633	4297
Mir599	0	0	0	0	0	0
Mir875	0	0	0	0	0	0
Cox6c	5872	4646	7763	4286	4878	4793
Rgs22	930	737	1675	7173	9531	12932
Fbxo43	19	8	9	85	115	68
Polr2k	363	300	515	365	429	549
Spag1	411	332	670	1541	1872	2281
Rnf19a	4273	3392	4755	2821	4449	3583
Ankrd46	6838	4512	6674	3094	6804	3752
Snx31	1	4	0	2	7	18
Pabpc1	33371	41980	47083	22996	30360	33144
Ywhaz	10422	10568	16582	12413	13781	12791
NA	4	3	3	5	1	2
Gm10384	320	282	576	308	216	469
NA	1	1	0	0	0	0
Zfp706	3745	4055	6394	3533	3962	4633
NA	477	533	843	461	454	861
Grhl2	2704	2296	4782	2714	3265	3746
Ncald	16999	11652	17324	10481	16829	14003
Gm15941	65	6	48	47	141	74
4930447A16Rik	14	4	6	5	19	12
Rrm2b	1750	1960	3115	1484	1913	2416
NA	375	371	487	203	293	309
Ubr5	6585	7896	14071	5583	6914	7111
NA	1	0	4	0	6	3
Odf1	0	0	0	0	0	0
Klf10	979	1125	2108	1090	1029	1421
Azin1	5774	5375	10564	9793	10215	11291
2310043O21Rik	9	28	11	0	2	6
Atp6v1c1	4855	6340	8025	15805	14298	21878
Baalc	12	12	18	14	1	6
Fzd6	8994	7527	11353	5738	7433	9765
Cthrc1	376	440	402	142	276	159
Slc25a32	662	721	1174	531	797	851
Dcaf13	1125	914	1465	938	1204	1258
Rims2	178	155	204	273	559	482
Dcstamp	34	35	108	4	2	10
Dpys	0	4	11	0	0	5
Gm16291	0	4	2	0	0	0
Lrp12	599	715	1213	601	748	735
AU022793	0	4	6	0	0	2
9330182O14Rik	0	0	0	2	0	0
Gm16294	0	0	0	0	0	0
Zfpm2	159	215	293	75	79	146
Oxr1	3662	4332	6075	4058	4022	5437
Gm19760	0	0	0	0	4	4
Abra	0	6	2	0	2	0
Angpt1	285	177	323	341	460	247
Gm17473	0	0	2	2	4	2
Rspo2	4	4	16	0	0	2
Eif3e	6051	6966	9552	3597	4801	6671
Gm10373	0	0	0	0	0	1
Emc2	1558	1181	1779	1090	1308	1298
Tmem74	2	2	2	2	0	0
Trhr	0	0	0	0	0	0
Nudcd1	1071	1308	1718	923	1058	1006
Eny2	1264	1363	2110	1137	1257	1304
Pkhd1l1	6108	5643	7183	2670	2247	1131
Ebag9	1802	1390	2474	1225	1442	1294
Sybu	152	137	546	90	94	48
2310069G16Rik	4	0	0	0	0	0
A930017M01Rik	47	19	132	956	1099	1399
Gm5471	0	2	7	5	2	3
Kcnv1	6	6	6	10	4	2
1700022A22Rik	0	0	0	0	0	0
4930523O13Rik	0	0	0	0	0	0
4930548G14Rik	0	0	0	0	0	0
Csmd3	4	14	51	27	42	40
Trps1	3342	3201	5523	1620	2578	1734
Mir1907	4	3	11	3	9	0
Gm19303	2	0	0	0	0	0
Eif3h	8124	10368	14228	6096	7083	9059
Utp23	397	394	673	343	455	480
Rad21	5303	6453	9340	5372	6546	8304
Aard	20	48	79	12	6	8
Slc30a8	0	0	0	0	0	0
Rpl15-ps6	32	27	46	17	49	49
Med30	686	701	1041	761	992	1278
Ext1	1629	1455	2408	1998	2198	2349
Gm19551	0	0	0	0	8	6
Samd12	267	214	257	209	338	244
Mir28c	0	0	0	0	0	0
Gm7489	0	0	0	0	1	0
Tnfrsf11b	179	174	390	336	200	726
Gm5215	0	0	0	2	0	0
Colec10	0	0	0	0	0	2
Mal2	2288	2486	3543	2255	2084	3772
Ccn3	193	965	375	143	395	808
Enpp2	985	3245	6313	7536	3655	13841
NA	0	2	0	1	0	0
Taf2	1689	1495	2681	1748	2290	2008
Dscc1	22	13	20	22	16	35
