GeneID	Bulk RNA-seq IU_0.5preg_n1	Bulk RNA-seq IU_0.5preg_n2	Bulk RNA-seq IU_0.5preg_n3	Bulk RNA-seq IA_0.5preg_n1	Bulk RNA-seq IA_0.5preg_n2	Bulk RNA-seq IA_0.5preg_n3
Snord96a	47	59	62	21	34	27
Snord95	5	7	7	4	4	3
Trim41	1830	2139	1686	1740	2624	2051
Trim7	525	704	523	852	1452	1164
Gm16170	131	201	106	174	433	267
Irgm1	3743	3291	2027	1137	1003	798
Gm5431	119	101	51	26	33	9
Gm12185	27	47	12	22	23	2
9930111J21Rik1	92	73	43	14	27	12
Tgtp1	216	372	200	58	91	24
9930111J21Rik2	16	9	14	1	0	0
Or2v1	51	50	15	14	17	11
Tgtp2	174	390	150	68	179	45
Ifi47	1568	1479	902	641	531	470
Or2v2	2	1	1	1	1	0
Or2t26	0	0	0	0	0	0
Or2o1	0	0	0	0	0	0
Btnl9	60	57	35	7	14	18
Zfp62	876	998	793	815	1214	1070
Mgat1	1833	2156	1712	2498	3333	2985
Or2y1g	0	0	0	1	0	0
Or2y1f	0	2	0	3	0	2
Or2y1b	0	0	0	0	1	0
Or2y1e	0	0	0	0	0	0
Or2y17	0	0	0	0	0	0
Or2y1d	0	0	0	0	0	0
Or2y16	0	0	0	0	0	0
Or2y15	0	0	0	0	0	0
Or2y1c	0	0	0	0	0	0
Or2y1	0	0	0	0	0	0
Or2y14	0	0	0	0	0	0
Or2y13	0	0	0	0	0	0
Or2y12	0	0	0	0	0	0
Or2y11	0	0	0	0	0	0
Or2y10	0	0	0	0	0	0
Flt4	762	695	540	123	150	139
Scgb3a1	14	4	9	13	18	11
Cnot6	1503	1403	1225	1553	1990	1915
Gm12191	186	206	165	92	136	142
Gfpt2	395	219	140	102	92	72
Mapk9	1367	1501	1052	1433	2059	1662
Rasgef1c	12	5	4	1	0	0
Rnf130	2335	2661	2236	1116	1470	1385
Mir340	1	0	1	0	0	0
Tbc1d9b	3149	3786	2825	4398	6335	5370
Mrnip	70	68	72	69	119	67
Sqstm1	16183	15032	12818	10515	12879	11334
Mgat4b	2644	2369	2063	1828	2314	2319
Ltc4s	51	59	66	41	72	72
Maml1	1315	1486	1166	646	775	786
Canx	15366	15522	13450	16701	16009	18916
Mir804	0	0	0	0	0	0
Hnrnph1	6936	7465	6106	5464	6062	6277
Rufy1	842	927	729	1303	1871	1616
Adamts2	2225	2079	1841	437	606	437
Zfp354c	420	568	368	138	352	202
Zfp879	43	48	49	51	120	92
Grm6	0	0	0	0	0	0
Zfp454	40	68	50	27	65	35
Zfp2	230	319	214	161	250	202
Zfp354b	28	54	27	51	61	72
4933414I15Rik	0	0	0	0	0	0
Prop1	0	0	0	0	0	0
Or1ad6	0	0	0	0	0	0
Or1ad1	0	0	0	0	0	0
Or1ad8	0	0	0	0	0	0
Or1x2	0	0	0	0	0	0
Zfp354a	125	126	97	81	112	99
9230009I02Rik	0	0	0	0	0	0
Msantd5	0	0	0	0	0	0
BC049762	10	20	13	9	19	19
Clk4	1375	1436	1189	626	1005	782
Col23a1	1046	1633	1126	741	1154	653
Phykpl	253	336	279	268	349	352
Hnrnpab	6805	7829	6544	8933	8177	8895
Nhp2	602	729	577	905	846	960
Rmnd5b	1122	1143	1101	908	1123	1107
N4bp3	894	1154	978	706	980	912
D930048N14Rik	264	600	377	253	656	470
0610009B22Rik	390	536	490	441	504	446
Sec24a	1078	1140	905	1172	1097	1156
Sar1b	735	839	822	744	788	867
NA	0	0	0	0	0	0
Jade2	1150	1187	1046	737	1117	824
Cdkn2aipnl	815	847	757	857	977	1000
Ube2b	3565	3833	3267	2991	4315	3461
Cdkl3	139	183	99	289	489	328
Ppp2ca	5924	5743	5059	5342	5777	6209
Mir3061	9	11	7	3	14	7
Or2y8	0	0	0	0	0	0
Or2y7	122	113	83	14	23	11
Or2y6	1	0	0	0	0	4
Skp1	4247	4969	3806	4983	6317	5674
Tcf7	199	229	122	160	217	130
A630014C17Rik	8	11	4	3	5	2
Vdac1	5930	6026	4830	6540	8160	7517
9530068E07Rik	5664	6306	5008	5845	7653	7020
Fstl4	19	36	19	14	26	27
Gm11186	0	0	0	0	0	0
Hspa4	6385	7336	5863	10193	10298	11429
Zcchc10	130	127	112	157	171	117
Aff4	10057	10090	8567	8316	10375	9230
Leap2	6	2	2	1	1	2
Uqcrq	1380	1793	1381	1814	1837	1908
Gdf9	15	9	26	6	11	7
Gm10447	7	15	4	4	2	4
Shroom1	162	103	98	11	28	11
Gm9837	0	0	0	0	0	1
Sowaha	90	98	77	48	104	55
Gm19835	0	4	3	0	7	0
Septin8	3200	3592	2813	3024	4641	3833
A430108G06Rik	22	41	26	156	333	208
Kif3a	1623	1906	1437	2584	3841	2915
Il4	5	7	3	3	8	6
Il13	1	1	1	1	3	0
Rad50	927	907	762	1218	1698	1420
Il5	3	1	1	1	4	2
Irf1	1873	1997	1236	965	1129	811
Gm12216	29	55	31	12	32	18
Slc22a5	819	980	823	739	984	807
Slc22a21	128	131	117	81	133	91
Slc22a4	162	197	194	293	411	304
Pdlim4	929	1016	663	1066	1252	1115
P4ha2	1565	1492	1519	784	558	732
4933405E24Rik	0	0	0	0	0	0
Csf2	7	3	2	1	0	0
Il3	0	0	0	0	0	0
Acsl6	20	19	15	89	38	30
NA	0	0	0	0	1	0
Meikin	1	2	0	7	10	10
Fnip1	2613	2226	1879	1161	1647	1256
Rapgef6	2061	2211	1730	2379	3072	2652
Cdc42se2	7118	8713	7837	9289	8823	10742
Lyrm7os	4	3	0	0	0	1
Lyrm7	73	79	62	137	173	199
Hint1	3006	3908	3296	3686	4333	4548
Gpx3	9604	7746	8524	1624	1587	1364
Tnip1	2042	2063	1632	1702	2463	2168
Anxa6	13281	13456	11159	10281	11915	13635
NA	14	25	6	10	20	20
Ccdc69	143	168	124	93	127	108
Gm2a	4314	5007	4015	1803	2207	1977
Slc36a3	0	0	1	0	0	0
Slc36a2	50	19	28	5	13	31
NA	2	0	2	0	1	0
Slc36a1os	0	0	0	0	0	0
Slc36a1	791	1165	726	1521	2560	2386
Fat2	53	162	100	445	586	591
NA	0	0	0	1	0	0
Sparc	13375	17437	13984	5328	9009	7665
Atox1	919	1051	978	717	955	903
G3bp1	3774	3803	3045	4799	4984	5021
Gm12238	0	0	0	1	1	0
Glra1	0	0	0	0	2	0
Nmur2	1692	1400	978	33	61	38
Gria1	493	326	321	983	1179	1027
Fam114a2	2023	1931	1701	1464	2110	1940
Mfap3	1180	1289	1008	995	1256	1169
Galnt10	1492	1903	1627	1211	1785	1671
4933426K07Rik	0	2	0	0	6	2
Sap30l	604	630	535	558	763	640
Hand1	0	0	0	0	0	0
Larp1	5274	6016	4836	5873	6332	6309
Gm12248	35	34	44	28	51	45
Gm12247	4	7	4	14	17	12
Cnot8	1732	1780	1561	2151	2807	2420
Gemin5	812	816	685	1125	1239	1270
Mrpl22	303	339	250	318	347	316
Gm12250	331	319	111	49	52	26
Igtp	1481	1773	929	614	652	506
Irgm2	2663	3288	1767	1323	2056	1316
4930438A08Rik	5	10	1	5	3	8
Zfp692	642	945	703	620	1126	912
Zfp672	945	1054	926	1176	1332	1383
Sh3bp5l	889	926	742	1021	1386	1215
Lypd8	19	12	18	3	3	7
1810065E05Rik	0	0	0	0	0	0
Gm12253	1	1	0	1	0	0
Lypd9	0	0	0	0	0	0
Or2z2	0	0	0	0	0	0
Or2av9	0	0	0	0	0	0
Or2t49	0	0	0	0	0	0
Or2t48	0	0	0	2	0	0
Or2t29	0	0	0	0	0	0
Or2t47	0	0	0	0	0	0
Or2t43	0	0	1	0	0	0
Or2t46	0	0	0	0	0	0
Or2ab1	0	0	0	0	0	0
NA	0	0	1	2	7	8
Lypd8l	12	32	22	167	240	217
Or11l3	0	2	0	0	0	1
Trim58	0	1	1	2	1	2
Or2w3	0	0	0	0	0	0
Or2ak7	0	0	0	0	0	0
Or2ak6	0	0	0	0	0	0
Or2ak5	0	0	0	0	0	0
Or2w3b	0	0	0	11	11	10
Or2ak4	0	1	0	0	2	0
Or2t45	0	2	0	2	4	2
Or2t44	0	1	0	0	1	0
Fam183b	165	414	245	2694	3730	3096
Or5af2	0	0	0	0	0	0
Or5af1	0	0	0	0	0	0
Or9e1	0	0	0	0	0	0
NA	267	401	241	146	256	173
2810021J22Rik	182	286	221	326	472	353
Zfp39	225	275	205	133	240	193
Btnl10	0	0	0	0	0	0
Rnf187	3111	3821	3136	3201	3622	3523
H2bc27	16	24	20	4	10	1
H2bu1-ps	2	5	3	0	3	2
H2ac25	697	604	686	434	729	596
Trim17	15	14	10	24	43	39
2310058D17Rik	36	43	33	23	46	27
Trim11	719	837	731	669	858	728
Obscn	73	119	66	64	116	67
Gm10435	1	1	3	1	0	2
Iba57	305	344	297	364	469	408
NA	3	3	3	7	8	10
Gjc2	130	183	151	64	115	67
Guk1	1317	1897	1627	2009	1861	2253
2610507I01Rik	471	546	489	541	885	654
Mrpl55	254	328	282	385	409	415
2310033P09Rik	425	519	477	552	649	666
Arf1	12933	13631	11826	13397	13655	14891
Wnt3a	0	0	0	0	0	0
Wnt9a	298	286	236	141	121	97
Prss38	0	1	1	0	1	0
Snap47	1469	1629	1398	1759	1938	1993
Jmjd4	372	357	303	317	308	345
Zfp867	312	387	267	219	345	262
Zkscan17	1784	1856	1573	1024	1876	1385
4933439C10Rik	839	1070	1016	349	758	513
Nlrp3	95	46	60	24	29	18
Or2b11	0	0	0	0	0	0
Or2aa1	0	0	0	0	0	0
Or2w25	0	0	2	3	8	4
Mprip	10135	11924	9371	8279	12448	9985
1700007J10Rik	61	58	44	15	43	21
Pld6	11	14	11	29	38	23
Flcn	1317	1597	1395	590	1065	767
Gm16062	19	31	23	15	10	11
Cops3	941	1112	902	1228	1403	1306
Nt5m	310	334	289	305	345	411
Med9os	19	12	14	42	98	75
Med9	706	850	717	903	1156	1012
Rasd1	714	667	531	236	305	287
Pemt	263	225	213	116	180	183
Rai1	2227	2844	1986	3090	4705	3557
4930412M03Rik	13	11	1	7	20	19
Srebf1	3091	3439	2815	3664	3500	4036
Tom1l2	4481	4347	3762	3262	3583	3274
Drc3	456	902	538	6072	9220	7217
Atpaf2	490	511	472	485	560	576
Gid4	1540	1570	1377	1468	1908	1751
Drg2	864	1028	845	991	1104	1126
Myo15a	19	42	37	30	79	36
Alkbh5	7761	7083	6975	6450	7342	6893
NA	0	0	0	0	0	0
Llgl1	3446	3802	2888	3065	3736	3441
Flii	5056	4553	4048	5356	6224	5480
Mief2	390	446	386	629	714	686
Mir5100	1	4	2	2	2	3
Top3a	404	514	316	431	640	444
Smcr8	1507	1325	1118	1237	1521	1327
Shmt1	213	235	211	221	290	251
Gm12618	0	0	0	0	0	0
Dhrs7b	536	705	572	641	927	827
Tmem11	665	683	634	511	566	557
Natd1	1290	1354	1056	672	1061	906
Map2k3os	26	22	27	30	30	16
Map2k3	1475	1414	1298	1866	1929	1986
Kcnj12	4	2	3	0	1	0
Tnfrsf13b	23	20	28	5	17	13
Usp22	4446	4326	3654	3789	4836	4388
Aldh3a1	20	41	41	62	206	123
Aldh3a2	2405	2680	2074	2538	3584	3155
NA	0	0	1	0	0	1
Slc47a2	12	32	9	6	14	9
Slc47a1	15	10	12	16	23	19
Gm12271	0	3	2	1	0	2
Rnf112	409	2509	907	15138	25892	19390
Mfap4	2336	2559	1976	1389	2873	2515
Mapk7	868	1187	862	2206	3041	2897
B9d1os	1	1	0	4	7	3
B9d1	474	771	509	1565	2173	1886
Epn2	1437	1494	1178	1365	1811	1627
Grap	147	133	123	28	51	42
Slc5a10	2	1	0	2	6	5
Fam83g	139	153	103	134	175	145
Prpsap2	679	916	695	1178	1721	1435
Ulk2	1794	2133	1531	3161	4345	3517
Akap10	870	961	778	844	1029	958
Specc1	788	724	642	430	303	301
NA	0	0	0	0	0	0
Adora2b	24	19	12	103	156	116
Zswim7	85	111	95	79	109	107
Ttc19	537	693	572	548	690	669
Ncor1	6183	6527	4982	5733	7725	7039
Pigl	257	300	285	252	354	373
Cenpv	307	458	395	436	569	485
Gm12279	28	39	38	14	59	44
Ubb	8205	9479	8810	8634	10128	10086
NA	0	0	0	0	0	0
Trpv2	301	250	190	93	148	110
NA	1	0	0	0	0	0
2410006H16Rik	1131	1428	1299	245	481	296
Snord49b	4	1	1	3	1	0
Snord49a	2	9	5	1	7	0
Snord65	1	2	2	0	1	0
Lrrc75a	321	341	279	164	174	246
Mmgt2	913	1034	813	731	1025	995
Zfp287	179	168	162	137	213	181
Zfp286	89	148	79	25	49	32
Trim16	745	776	604	435	466	487
Fbxw10	71	75	49	109	252	149
Tvp23b	2460	2596	2385	2496	2421	2523
Cdrt4	0	3	3	1	0	0
Tekt3	21	82	41	340	608	493
Pmp22	2626	3217	2322	1580	2400	1978
Hs3st3b1	232	261	241	836	864	744
Cox10	264	280	244	378	402	416
2810001G20Rik	114	141	102	102	180	143
F930015N05Rik	2	2	5	1	7	8
Hs3st3a1	10	13	7	13	33	21
Elac2	525	524	459	642	636	675
Arhgap44	1697	2030	1860	1613	2118	2080
Myocd	701	732	554	259	415	461
Gm12295	62	79	50	22	40	71
Map2k4	2637	2490	2222	2407	2273	2603
Mir744	0	0	1	0	0	1
Zkscan6	570	523	453	445	503	458
Dnah9	684	1484	636	13918	20717	14187
Shisa6	1	1	0	19	25	11
Gm12298	0	0	0	0	0	0
Pirt	0	0	0	0	0	0
Tmem220	97	115	96	290	406	336
Adprm	354	415	334	399	667	503
Sco1	396	404	334	352	443	440
Myh3	0	1	0	2	1	2
2310065F04Rik	0	0	0	0	0	0
Myh2	2	13	10	35	129	66
Myh1	0	0	2	0	0	2
Myh4	0	0	0	0	0	0
Myh8	0	0	0	0	0	0
NA	0	0	0	0	0	0
Myh13	10	5	8	1	2	3
NA	0	0	1	0	0	0
Gas7	2669	3146	2695	4729	3652	4386
Rcvrn	4	1	3	4	9	4
Glp2r	4	10	5	13	7	4
Gsg1l2	0	0	0	0	0	0
Dhrs7c	0	0	0	0	0	0
Usp43	284	248	175	942	1193	1021
9130017K11Rik	15	24	8	21	76	36
Cfap52	309	532	370	3065	4316	3292
Stx8	478	447	414	451	505	493
Gm20169	0	0	0	0	0	1
C78197	5	4	11	0	3	3
Ntn1	4305	3705	2824	1652	1793	1549
Pik3r5	404	226	254	94	58	174
Pik3r6	89	75	67	20	37	29
Mfsd6l	199	358	197	1172	1752	1172
Ccdc42	9	5	6	7	22	5
Myh10	7096	7973	6042	3401	5510	4263
Ndel1	1616	1501	1360	1500	1858	1735
Rnf222	0	2	1	1	6	1
Rpl26	8358	9763	8889	5056	6967	6728
Odf4	0	4	0	0	2	0
Arhgef15	365	327	280	66	115	123
Slc25a35	197	271	187	242	397	351
Rangrf	129	124	101	194	233	190
Pfas	687	892	626	816	1043	935
Mir3062	0	0	0	0	0	0
Ctc1	1296	1262	1100	729	1473	1081
Aurkb	35	56	62	53	107	50
Borcs6	471	457	402	352	451	393
Tmem107	361	598	394	1777	2303	2054
Snord118	1	0	0	0	7	0
Vamp2	3087	3605	3045	1836	2599	2394
Per1	2008	1716	2163	1417	1271	1895
9130213A22Rik	8	8	2	19	18	9
Hes7	10	8	5	4	8	8
Aloxe3	9	19	14	56	81	72
Alox12b	4	6	2	15	13	23
Alox8	11	6	3	3	2	3
Gucy2e	30	53	27	68	157	112
Cntrob	325	447	308	358	713	458
Trappc1	596	653	561	601	637	605
Kcnab3	44	56	33	14	22	12
Rnf227	82	115	92	223	405	290
Chd3	10118	10562	8115	7324	12420	9594
Cyb5d1	396	405	412	594	895	679
Naa38	305	405	362	494	494	525
Tmem88	155	201	114	48	62	73
Kdm6b	3373	3719	3016	3295	4917	3929
Dnah2	436	779	383	3833	6926	4646
Efnb3	335	350	325	166	341	249
Wrap53	316	344	273	508	758	545
Trp53	1663	1609	1148	1003	1200	1084
Atp1b2	1443	1333	915	369	801	663
Shbg	0	0	0	1	0	0
Sat2	126	160	101	49	90	70
Fxr2	2432	2405	2017	1998	2352	2221
Mir467f	6	1	3	2	1	2
Sox15	1	0	1	0	4	2
Mpdu1	1346	1556	1405	1111	1387	1409
Mir1934	1	0	0	0	4	1
Cd68	1673	1060	1000	215	188	235
Eif4a1	9785	8715	7794	9475	7768	9047
Senp3	2011	2284	1890	1731	2233	1956
Tnfsf13os	128	187	148	183	248	369
Tnfsfm13	18	8	15	11	8	11
Tnfsf13	200	278	276	236	426	416
Tnfsf12	430	436	359	191	295	253
Polr2a	4790	5488	4177	5544	7416	6267
Slc35g3	170	114	108	9	28	22
Zbtb4	3827	4360	3470	2841	3980	3579
Chrnb1	281	325	214	332	285	231
Fgf11	67	55	66	77	64	78
Tmem102	0	1	1	0	0	0
G630025P09Rik	3	1	5	1	0	0
Spem2	1	1	1	2	0	1
Spem1	7	12	4	0	3	0
Nlgn2	2700	2698	2188	1279	2126	1438
Tmem256	574	621	592	481	577	551
Plscr3	1384	1279	1040	679	931	731
Tnk1	758	820	711	678	871	842
Tmem95	15	10	13	25	64	28
Kctd11	389	405	289	646	821	596
Acap1	67	65	34	65	201	91
2810408A11Rik	113	124	71	35	123	65
Neurl4	1652	1863	1609	1991	2701	2070
Gps2	779	818	696	666	854	749
Eif5a	6618	7493	5911	9169	8659	10258
Ybx2	84	119	88	49	79	47
Slc2a4	1164	1297	903	227	478	348
Cldn7	6426	5703	5487	5001	3463	5432
Elp5	763	851	691	780	894	836
Ctdnep1	2898	2878	2383	2429	2643	2597
Gabarap	3355	3238	3127	2831	3167	3176
NA	1	2	5	3	2	2
Phf23	1500	1378	1294	1113	1122	1370
Dvl2	865	886	764	628	752	664
NA	0	1	0	0	1	0
Acadvl	2299	2278	1952	2164	2706	2425
Mir324	3	4	4	2	3	1
Dlg4	1176	1331	1083	693	1283	960
Asgr1	3	3	4	3	2	2
Asgr2	25	38	18	1	10	3
Mgl2	510	223	232	50	62	44
Clec10a	519	448	371	58	122	73
Slc16a11	667	906	685	570	929	684
Slc16a13	415	462	426	512	602	596
Bcl6b	233	328	214	74	100	95
Mir497	0	0	0	0	1	0
Mir195a	0	0	0	0	0	0
0610010K14Rik	588	751	594	547	657	644
Rnasek	3272	3408	2929	2412	2749	2658
Alox12	567	793	555	275	261	362
Alox12e	7108	12457	6874	10582	16479	13878
Alox15	16888	22435	14855	20353	20523	22613
Pelp1	1493	1704	1328	2055	1963	2210
Arrb2	811	827	741	376	510	505
Med11	409	468	356	371	424	412
Cxcl16	2554	1808	1664	527	459	405
Zmynd15	260	351	300	81	106	88
Tm4sf5	72	66	120	4	23	19
Vmo1	3	1	3	0	1	1
Gltpd2	2	10	9	1	6	0
Psmb6	2206	2715	2316	3185	3653	3458
Pld2	1856	1685	1473	1084	1291	1129
Mink1	3750	4426	3616	4298	5514	5144
Chrne	13	14	28	33	29	24
4930544D05Rik	1	2	3	2	6	7
Gp1ba	20	26	29	28	51	50
Slc25a11	4236	5297	4549	5630	5879	6222
Rnf167	2606	2946	2373	2013	3283	2513
Pfn1	8762	9202	7509	9538	9719	10649
Eno3	189	185	145	152	227	167
Spag7	1002	1181	979	1426	1646	1505
Camta2	1676	1671	1353	1157	1578	1384
Inca1	43	98	58	51	108	87
Kif1c	6893	7164	5837	5329	5876	5729
Zfp3	141	180	123	184	291	252
Scimp	35	38	10	4	6	0
Rabep1	1644	1782	1458	2181	2927	2525
Gm19967	0	6	1	1	1	2
Nup88	1416	1458	1131	1582	1807	1661
Rpain	271	329	256	154	150	131
C1qbp	1126	1137	1058	1426	1376	1485
Dhx33	686	839	693	868	1019	1009
Derl2	1904	1717	1666	2031	1928	2088
Mis12	749	654	625	889	716	835
6330403K07Rik	161	156	119	667	403	273
Nlrp1a	12	14	15	7	7	6
Nlrp1b	30	28	27	15	9	8
Nlrp1c-ps	10	18	14	3	1	2
9230020A06Rik	44	36	32	5	3	4
Wscd1	246	252	231	31	40	49
4930401O10Rik	0	0	0	0	0	0
Aipl1	104	98	54	87	115	121
Pimreg	83	84	59	48	110	110
Pitpnm3	4265	5777	4347	4823	6541	7643
4933427D14Rik	1022	1348	986	1207	1796	1401
Txndc17	2112	2428	2287	1909	1820	2090
Med31	273	350	354	466	687	573
4930563E22Rik	26	55	39	32	43	27
Slc13a5	129	207	182	159	83	109
1700051A21Rik	1	0	0	0	0	0
Xaf1	1302	1524	965	538	527	376
Fbxo39	3	5	1	0	2	2
Tekt1	496	711	543	2930	4051	3176
Smtnl2	723	815	690	1388	1444	1317
Ggt6	175	232	172	259	360	279
Mybbp1a	2606	2792	2363	3382	3194	3372
Spns2	1905	1303	1515	912	1145	786
Spns3	22	20	20	17	57	21
NA	1	4	0	0	1	1
Ube2g1	1169	1342	999	898	1252	1316
Ankfy1	4137	4048	3113	4061	5102	4700
Cyb5d2	411	494	418	487	740	535
Zzef1	2097	2372	1775	2240	2715	2299
Atp2a3	4445	10779	7568	4865	7663	10150
P2rx1	19	33	19	0	5	5
Camkk1	342	428	284	403	361	553
Ncbp3	861	954	735	974	1183	1187
Itgae	240	302	195	62	119	74
Haspin	53	60	48	17	23	26
P2rx5	53	30	26	4	13	6
Emc6	794	820	740	859	894	911
Tax1bp3	1497	1443	1320	1284	1196	1442
Ctns	749	751	637	304	564	418
Shpk	216	232	177	188	229	198
Trpv1	12	4	4	4	3	6
Trpv3	5	1	1	2	2	3
Aspa	61	43	57	44	92	96
Spata22	6	4	4	7	5	10
Or1e1	0	0	0	0	0	0
Or1e1c	0	0	0	0	0	0
Or1e16	0	0	0	0	0	0
Or1e36-ps1	0	0	0	0	0	1
Or1e19	0	0	0	0	0	0
Or1e21	0	0	0	0	0	0
Or1e22	0	0	0	0	0	0
Or1e23	0	0	0	0	0	0
Or1e26	0	0	0	0	0	0
Or1e25	0	0	0	0	0	0
Zfp735	0	0	0	0	0	0
Or1e29	0	0	0	0	0	0
Or1e30	0	0	0	0	0	0
Or1e31	0	0	0	0	0	0
Or1e32	0	0	0	0	0	0
Or1e33	0	0	0	0	0	0
Or1e34	0	0	0	0	0	0
Or1e35	0	0	0	0	0	0
Or1e17	0	0	0	0	0	0
Or1e1f	0	0	0	0	0	0
Or1r1	0	0	0	0	0	0
Or3a10	0	0	0	0	0	0
Or3a4	0	0	0	0	0	0
Zfp616	0	0	0	0	0	0
Or3a1b	0	0	0	0	0	0
Or3a1c	0	0	0	0	0	0
Or1a1	0	0	0	0	0	0
Or1a1b	0	0	0	0	0	0
Or1p1c	0	0	0	0	0	0
Or1p1	0	0	0	0	0	0
Or3a1	0	0	0	0	0	0
Or3a1d	0	0	0	0	0	0
Or1d2	0	0	0	0	0	0
Rap1gap2	2029	1729	1400	796	1025	1287
Ccdc92b	40	70	72	27	110	65
Cluh	1545	1860	1485	2057	1663	2048
Pafah1b1	5122	5493	4258	5801	7306	6847
Mettl16	586	662	498	882	875	856
Mnt	2096	2275	1881	1253	1733	1586
Sgsm2	1872	2089	1789	1377	1742	1652
Tsr1	706	679	594	812	652	795
Snord91a	9	13	4	8	9	10
Srr	573	586	464	477	687	646
Smg6	1695	2019	1461	1620	2635	1872
Hic1	984	1068	757	296	505	387
Mir212	1	4	7	0	0	0
Mir132	1	4	3	0	0	0
Ovca2	362	466	320	468	471	583
Dph1	220	254	214	251	316	286
Rtn4rl1	172	160	116	84	156	89
Rpa1	954	1202	855	1851	2541	2162
NA	0	0	0	0	0	0
Smyd4	198	238	181	249	376	315
Serpinf1	3276	2070	2175	476	764	642
Serpinf2	6	2	4	3	0	1
Wdr81	1534	1602	1340	940	1315	1188
Mir22hg	758	785	752	354	276	378
Mir22	0	0	0	0	0	0
Tlcd2	100	112	103	54	89	84
Prpf8	7450	7981	6476	10285	12793	11243
Rilp	42	36	42	17	24	24
Scarf1	158	204	167	38	79	48
Slc43a2	1168	1867	1375	2186	3286	2570
Mir3971	0	2	0	1	0	0
Pitpna	3532	3645	3075	4411	4654	4750
Inpp5k	1438	1434	1143	608	1348	972
Myo1c	4528	4551	3581	2788	2798	2651
Crk	4203	4228	3582	4245	4211	4396
Ywhae	9792	10721	8656	15956	18183	17634
Doc2b	215	355	262	1147	1988	1605
Rph3al	437	455	320	743	1022	854
1700016K19Rik	288	498	275	2499	3502	2525
Rflnb	884	989	695	488	792	625
Vps53	1521	1453	1165	2001	2140	2093
Tlcd3a	552	310	286	350	537	457
Gemin4	587	759	594	1748	1870	1829
Dbil5	3	11	7	22	45	35
Glod4	1861	1933	1664	2282	3216	2763
Mrm3	68	121	80	84	86	93
Nxn	2766	3063	2618	2986	3991	3535
Timm22	443	506	444	513	583	579
Abr	3304	3912	3275	3550	5823	4475
Bhlha9	3	2	4	0	4	1
Trarg1	25	24	18	2	16	20
Gosr1	1635	1754	1463	1408	1747	1602
Cpd	16826	23924	16903	37129	58382	49556
Tmigd1	51	53	54	60	132	103
Blmh	2224	2573	2208	1737	1940	1994
Slc6a4	612	695	509	96	26	76
Nsrp1	785	791	745	649	748	698
Mir423	0	3	0	0	0	4
Efcab5	18	31	26	23	63	40
Ssh2	911	1127	797	660	920	753
Coro6	82	83	72	16	35	45
Ankrd13b	428	550	432	365	560	466
2210008F06Rik	13	9	12	10	16	12
Git1	2646	2913	2432	2483	3270	2839
Trp53i13	333	416	352	380	590	443
Abhd15	42	20	33	17	24	41
Taok1	3047	3152	2293	2747	3675	3239
NA	0	0	0	0	0	0
Nufip2	2489	2495	1943	2165	2449	2386
Cryba1	0	2	0	0	0	0
Myo18a	3347	3561	2930	3572	4093	3864
Gm10277	3	1	4	0	5	3
Pipox	18	18	21	19	14	17
Gm11190	0	0	0	0	0	0
Sez6	0	1	3	0	1	0
Phf12	2261	2666	2013	1786	2412	2054
Dhrs13os	3	8	7	8	22	7
Dhrs13	155	159	163	187	293	274
Flot2	1714	1947	1345	1569	1916	1788
Mir144	0	0	0	0	0	0
Mir451a	0	0	0	0	0	0
Eral1	503	486	386	413	665	526
Fam222b	659	719	574	746	830	843
Traf4	849	898	788	1014	1268	1059
Nek8	470	516	462	553	776	693
Tlcd1	421	369	341	149	256	197
Rpl23a	6383	6732	5968	3676	4988	4566
Snord42a	2	1	3	1	3	0
Snord4a	6	6	14	7	4	2
Snord42b	11	8	9	2	7	1
Rab34	963	1120	956	319	604	363
Proca1	55	62	67	18	72	28
Supt6	4708	4715	3999	4145	4676	4276
Sdf2	1950	2093	1788	1632	2035	1798
Bltp2	12328	11811	10069	9449	9227	10188
Rskr	23	10	10	5	11	6
Gm3948	0	5	1	3	5	7
Spag5	55	59	55	64	110	72
Aldoc	7913	9582	8664	9097	8382	8502
Pigs	1559	1738	1456	1909	2463	2347
Unc119	450	591	397	324	519	444
Foxn1	0	0	0	3	4	0
Slc13a2os	5	15	10	19	51	21
Slc13a2	68	112	75	219	348	192
Slc46a1	611	905	747	950	810	1072
Sarm1	54	35	21	17	36	24
Vtn	106	139	91	22	40	29
Sebox	0	0	0	0	0	0
Tmem199	331	358	341	416	369	370
Poldip2	1471	1617	1367	1541	1929	1799
Tnfaip1	2295	2272	1802	2016	2214	2073
Ift20	922	1073	1041	1334	1415	1486
Tmem97	237	179	115	266	207	249
Nlk	688	792	582	787	973	977
Ccnq	280	281	229	311	312	348
Lyrm9	154	221	167	247	453	338
Nos2	776	126	199	1	14	15
Lgals9	2453	1837	1177	681	795	547
Ksr1	484	402	314	274	390	278
Gm11201	4	8	7	5	10	8
Wsb1	3359	3453	2888	556	837	697
Gm9964	0	0	0	0	0	0
Nf1	1818	2107	1458	2087	3141	2320
AU040972	14	73	15	1081	2170	1281
Omg	1	0	1	14	7	10
Evi2b	228	213	143	39	50	34
Evi2a	214	198	192	38	46	75
D130012P04Rik	28	38	22	14	58	27
Rab11fip4	404	591	477	1601	2721	1951
Rab11fip4os1	0	0	0	0	5	0
Rab11fip4os2	0	0	0	0	0	0
